SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905948,A498,OR2Y1,normal,      -0.724
905948,A498,SCARA5,normal,      -0.033
905948,A498,BCL2L10,normal,      -0.103
905948,A498,C1orf189,normal,       0.500
905948,A498,SLCO5A1,normal,      -0.441
905948,A498,SUFU,normal,       0.891
905948,A498,KCNK1,normal,       1.057
905948,A498,HGFAC,normal,      -0.860
905948,A498,FOXJ3,normal,      -1.010
905948,A498,DHX16,normal,      -1.348
905948,A498,EXOC8,normal,       1.568
905948,A498,CD82,normal,       0.861
905948,A498,ZBTB47,normal,       0.748
905948,A498,POLR3B,normal,      -1.052
905948,A498,GPHN,normal,      -1.117
905948,A498,NDRG2,normal,       0.559
905948,A498,SMC4,normal,      -1.065
905948,A498,ABCB4,normal,      -1.780
905948,A498,PAX1,normal,      -0.923
905948,A498,MOCOS,normal,       0.872
905948,A498,KLHL34,normal,      -0.213
905948,A498,TMPRSS5,normal,       0.442
905948,A498,SCGB2B2,normal,       0.945
905948,A498,MYEOV,normal,       0.804
905948,A498,APOF,normal,       0.120
905948,A498,ZNF583,normal,      -0.648
905948,A498,TMEM117,normal,       0.124
905948,A498,MUC20,normal,       1.457
905948,A498,MMD,normal,       1.170
905948,A498,TAF1,normal,      -0.351
905948,A498,GRIPAP1,normal,      -0.927
905948,A498,KDELC1,normal,       1.158
905948,A498,C5orf56,normal,      -0.379
905948,A498,GTF3C5,normal,      -0.057
905948,A498,OTUD1,normal,       0.030
905948,A498,KRTAP19-7,normal,      -1.226
905948,A498,ZBTB33,normal,      -1.393
905948,A498,KCNH4,normal,       0.367
905948,A498,THOC7,normal,      -1.788
905948,A498,PRSS36,normal,       1.608
905948,A498,RGPD4,normal,      -0.174
905948,A498,PLCB1,normal,      -0.688
905948,A498,HIST1H2BB,normal,       0.623
905948,A498,TNNI3K,normal,       0.540
905948,A498,RPL35A,normal,      -0.507
905948,A498,ZCCHC14,normal,      -0.294
905948,A498,CGNL1,normal,       1.985
905948,A498,ABHD12,normal,       1.435
905948,A498,UBE2H,over,       2.578
905948,A498,SDE2,normal,       0.253
905948,A498,LSM7,normal,       0.224
905948,A498,CLIP3,under,      -2.137
905948,A498,TEKT3,normal,      -0.661
905948,A498,CSTF2T,normal,      -0.898
905948,A498,CDH18,normal,      -0.193
905948,A498,BMPR1B,normal,      -0.053
905948,A498,GTSF1,normal,      -0.539
905948,A498,TMEM109,normal,       0.103
905948,A498,ZFYVE9,normal,       0.450
905948,A498,GABARAPL2,normal,       0.764
905948,A498,CYB5R1,normal,       1.827
905948,A498,MEGF8,normal,       0.821
905948,A498,WSB1,normal,      -0.140
905948,A498,CAMK1D,normal,       0.245
905948,A498,CNTNAP1,normal,       0.206
905948,A498,LAG3,normal,       0.731
905948,A498,NCKAP1,normal,       0.999
905948,A498,PADI1,normal,       0.754
905948,A498,LLGL1,over,       2.386
905948,A498,TUBGCP2,under,      -3.134
905948,A498,DNAJC22,over,       2.364
905948,A498,FOXO4,normal,      -1.403
905948,A498,ZNF879,normal,       0.584
905948,A498,PLA1A,normal,       1.060
905948,A498,FZD1,normal,       1.065
905948,A498,ENOSF1,normal,      -1.710
905948,A498,APBB2,normal,       0.809
905948,A498,CCDC36,normal,       1.408
905948,A498,ADSS,normal,       0.322
905948,A498,MFF,over,       2.090
905948,A498,GIT1,normal,       0.501
905948,A498,RAVER2,normal,      -0.306
905948,A498,MEIOC_ENST00000359945,normal,       0.089
905948,A498,TCP11,normal,       0.860
905948,A498,PRXL2A_ENST00000372187,normal,      -0.076
905948,A498,MAPRE1,normal,      -1.411
905948,A498,UBAP2L,normal,       0.378
905948,A498,SNX1,normal,      -1.439
905948,A498,TESMIN_ENST00000443940,normal,      -0.086
905948,A498,JMY,normal,      -0.055
905948,A498,PCCA,normal,      -0.834
905948,A498,B4GALT7,over,       3.026
905948,A498,BACE2,normal,       0.698
905948,A498,PREPL,normal,      -0.237
905948,A498,ARID3B,normal,      -0.950
905948,A498,FGF19,normal,      -0.068
905948,A498,MMP24,over,       2.531
905948,A498,NUDCD1,normal,       1.203
905948,A498,COX11,normal,      -0.446
905948,A498,FFAR2,normal,      -0.341
905948,A498,AGTRAP,normal,       0.393
905948,A498,GNA12,over,       2.909
905948,A498,OR10S1,normal,       0.196
905948,A498,TARDBP,normal,      -1.264
905948,A498,WDTC1,normal,       0.566
905948,A498,PDRG1,normal,      -0.114
905948,A498,FAM151A,normal,      -0.351
905948,A498,GRK3,normal,      -1.170
905948,A498,EPHA7,normal,       0.914
905948,A498,LMF2,normal,       1.300
905948,A498,MON1A,normal,      -1.583
905948,A498,RFLNA_ENST00000389727,over,       2.122
905948,A498,WFDC5,normal,      -0.561
905948,A498,PSTK,under,      -2.243
905948,A498,ZHX3,normal,       1.660
905948,A498,FAM184A,normal,       0.210
905948,A498,QRSL1,normal,      -0.870
905948,A498,POTEC,normal,      -0.466
905948,A498,ZNF669,normal,       0.082
905948,A498,INSYN2_ENST00000424811,normal,       0.313
905948,A498,CCDC61,normal,       0.705
905948,A498,FN3K,normal,      -0.474
905948,A498,SCIN,normal,       0.504
905948,A498,DMRT1,normal,       1.949
905948,A498,LZTS1_ENST00000522290,normal,      -0.757
905948,A498,EGR3,normal,      -0.321
905948,A498,GAS7,normal,      -1.878
905948,A498,LDHB,normal,      -0.998
905948,A498,HMGB1,normal,      -0.654
905948,A498,ACTG2,normal,      -0.012
905948,A498,FAIM,normal,      -1.107
905948,A498,SNAP23,normal,       0.933
