SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905963,CAKI-1,MGRN1,normal,       0.977
905963,CAKI-1,ZNF770,normal,      -1.486
905963,CAKI-1,AKAP3,normal,      -1.082
905963,CAKI-1,DYTN,normal,       0.023
905963,CAKI-1,ZNF805,normal,      -0.939
905963,CAKI-1,LSAMP,normal,      -0.290
905963,CAKI-1,PATL1,normal,      -0.436
905963,CAKI-1,GKN1,normal,       0.245
905963,CAKI-1,CAMTA1,normal,       0.478
905963,CAKI-1,CUL2,normal,       1.174
905963,CAKI-1,PRPS2,normal,      -0.400
905963,CAKI-1,FMNL1,normal,      -1.584
905963,CAKI-1,MT1B,normal,       0.063
905963,CAKI-1,COMTD1,normal,      -0.214
905963,CAKI-1,KCNMB1,normal,      -1.371
905963,CAKI-1,KBTBD2,normal,      -1.658
905963,CAKI-1,CD226,normal,      -1.375
905963,CAKI-1,GSR,normal,       0.510
905963,CAKI-1,FAM163B,normal,      -0.981
905963,CAKI-1,GMPR2,normal,      -1.687
905963,CAKI-1,NPC1,normal,       1.012
905963,CAKI-1,CXCR2,normal,      -0.939
905963,CAKI-1,F2RL2,normal,       0.815
905963,CAKI-1,NLRP9,normal,      -0.432
905963,CAKI-1,PRDM4,normal,       0.885
905963,CAKI-1,IFNA5,normal,      -0.120
905963,CAKI-1,MICU1,over,       2.088
905963,CAKI-1,MARCH5,normal,      -0.463
905963,CAKI-1,EFCAB3,normal,      -0.931
905963,CAKI-1,OR4A47,normal,      -0.947
905963,CAKI-1,PPP1R3B,normal,       0.454
905963,CAKI-1,FJX1,normal,       0.408
905963,CAKI-1,SYT2,normal,      -0.917
905963,CAKI-1,SPATA31E1,normal,      -0.169
905963,CAKI-1,GLRB,normal,       1.541
905963,CAKI-1,HBQ1,normal,      -0.766
905963,CAKI-1,ACTR10,normal,      -0.796
905963,CAKI-1,NMUR1,normal,      -0.124
905963,CAKI-1,FOXRED1,under,      -2.554
905963,CAKI-1,ACSM3,normal,       0.466
905963,CAKI-1,GJD4,normal,      -0.729
905963,CAKI-1,ZNF468,normal,      -0.330
905963,CAKI-1,SNN,normal,       0.141
905963,CAKI-1,CAMTA2,normal,      -1.741
905963,CAKI-1,TSPAN6,normal,       0.221
905963,CAKI-1,CCDC71,normal,       0.021
905963,CAKI-1,CBX4,normal,      -1.646
905963,CAKI-1,ADCY10,normal,       0.455
905963,CAKI-1,ATP4B,normal,       0.064
905963,CAKI-1,KRT4,normal,      -0.395
905963,CAKI-1,MCTS1,normal,       0.277
905963,CAKI-1,CYLD,normal,       0.427
905963,CAKI-1,CHMP4B,normal,       1.545
905963,CAKI-1,ZNF548,normal,      -0.712
905963,CAKI-1,IL13,normal,      -0.286
905963,CAKI-1,CBL,normal,      -1.543
905963,CAKI-1,SLC7A1,normal,      -1.193
905963,CAKI-1,TMEM200B,normal,      -1.657
905963,CAKI-1,MRPL55,normal,       1.257
905963,CAKI-1,PTMS,normal,       0.374
905963,CAKI-1,PTPRR,normal,       0.835
905963,CAKI-1,LTF,normal,      -0.391
905963,CAKI-1,HPDL,normal,      -0.518
905963,CAKI-1,NPC2,normal,       0.419
905963,CAKI-1,GPR107,normal,       1.033
905963,CAKI-1,TDRD7,normal,       0.407
905963,CAKI-1,ENO1,normal,       1.575
905963,CAKI-1,HIST1H2BL,normal,       0.306
905963,CAKI-1,ODF2L,normal,      -1.216
905963,CAKI-1,LY9,normal,      -1.741
905963,CAKI-1,TMEM209,normal,      -0.052
905963,CAKI-1,EPDR1,over,       2.017
905963,CAKI-1,SGPP1,normal,      -0.693
905963,CAKI-1,PIRT,normal,      -0.107
905963,CAKI-1,SBDS,normal,       0.207
905963,CAKI-1,RXRB,normal,      -0.710
905963,CAKI-1,PTGIR,normal,       0.314
905963,CAKI-1,TOMM40L,normal,       0.121
905963,CAKI-1,FGR,normal,      -0.577
905963,CAKI-1,PLPP4_ENST00000541332,normal,      -0.960
905963,CAKI-1,BRF2,normal,       0.405
905963,CAKI-1,SNX8,normal,       0.252
905963,CAKI-1,TMSB10,normal,       1.752
905963,CAKI-1,TMX1,normal,      -1.031
905963,CAKI-1,LIX1L,normal,       0.244
905963,CAKI-1,KCNH4,normal,      -0.091
905963,CAKI-1,GUCY2D,normal,       0.110
905963,CAKI-1,SLC25A16,normal,       0.702
905963,CAKI-1,KLF2,normal,      -0.008
905963,CAKI-1,SLC9A8,normal,      -0.429
905963,CAKI-1,TMEM87B,normal,       0.315
905963,CAKI-1,PDE4C,normal,       0.618
905963,CAKI-1,SOCS4_ENST00000339298,normal,       0.120
