SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905935,DU-145,SUN5,normal,       0.563
905935,DU-145,SERHL2,normal,       0.396
905935,DU-145,ICAM5,normal,       0.405
905935,DU-145,MMP16,normal,      -1.279
905935,DU-145,CCL20,normal,      -0.415
905935,DU-145,CLPTM1L,normal,       0.956
905935,DU-145,TMEM60,normal,       0.581
905935,DU-145,USH1G,normal,       0.049
905935,DU-145,SMIM13,normal,       0.306
905935,DU-145,DNAH11,normal,      -0.276
905935,DU-145,CLDN9,normal,      -1.186
905935,DU-145,TSPAN31,under,      -2.573
905935,DU-145,PALD1,normal,       0.127
905935,DU-145,HIST1H3B,normal,      -0.317
905935,DU-145,MAL2,normal,       0.707
905935,DU-145,SLC25A42,normal,      -0.933
905935,DU-145,RAB10,normal,       0.890
905935,DU-145,ICAM4,normal,      -0.581
905935,DU-145,ZNF644,normal,      -1.596
905935,DU-145,ENKUR,normal,      -1.434
905935,DU-145,TEAD2,normal,       0.355
905935,DU-145,JRKL,normal,      -0.174
905935,DU-145,TNFRSF11B,under,      -2.633
905935,DU-145,GRIK3,normal,      -0.423
905935,DU-145,CDCA4,over,       2.109
905935,DU-145,TPBG,normal,       0.743
905935,DU-145,PPP1R13B,normal,       1.122
905935,DU-145,SCD5,normal,      -0.218
905935,DU-145,KLK14,normal,      -0.538
905935,DU-145,LRBA,normal,      -1.772
905935,DU-145,MAS1,normal,       0.639
905935,DU-145,SUZ12,normal,      -0.166
905935,DU-145,ETNK1,normal,      -0.192
905935,DU-145,AMPD2,under,      -2.222
905935,DU-145,ATF7IP,normal,      -1.971
905935,DU-145,PYHIN1,normal,      -1.000
905935,DU-145,STARD3,normal,       1.115
905935,DU-145,MORC2,normal,      -0.290
905935,DU-145,MCM8,normal,       0.558
905935,DU-145,SIRT7,normal,       0.732
905935,DU-145,EGR3,normal,       0.104
905935,DU-145,UBE2B,normal,      -0.462
905935,DU-145,PTCD3,normal,      -0.706
905935,DU-145,PNKP,normal,      -0.865
905935,DU-145,NXNL1,normal,      -1.016
905935,DU-145,TBCD,normal,       0.946
905935,DU-145,ADAM11,normal,       0.559
905935,DU-145,TAF13,normal,       0.480
905935,DU-145,KCNMA1,normal,       0.993
905935,DU-145,MS4A3,normal,       0.600
905935,DU-145,ZNF614,normal,      -1.490
905935,DU-145,BNC2,normal,      -1.876
905935,DU-145,LEO1,normal,       0.763
905935,DU-145,GFRA3,normal,      -0.692
905935,DU-145,PTGIR,normal,      -0.279
905935,DU-145,FRAT1,normal,      -1.509
905935,DU-145,OTOL1,normal,      -1.031
905935,DU-145,KHDRBS1,normal,      -0.407
905935,DU-145,ZNF155,normal,       0.054
905935,DU-145,GPR78,normal,      -0.012
905935,DU-145,STK36,normal,      -0.452
905935,DU-145,RRM2B,normal,      -0.494
905935,DU-145,RPS24,normal,      -0.322
905935,DU-145,CAPN6,normal,      -0.273
905935,DU-145,HOXA3,normal,      -0.424
905935,DU-145,NTRK3,normal,      -0.435
905935,DU-145,TTLL12,normal,       1.024
905935,DU-145,STXBP5,normal,       0.780
905935,DU-145,FGF12,normal,       1.394
905935,DU-145,TRNP1,over,       4.193
905935,DU-145,APLN,normal,       0.791
905935,DU-145,SIGLEC9,normal,      -0.490
905935,DU-145,CSTF2T,normal,       0.024
905935,DU-145,CACNG2,normal,      -0.143
905935,DU-145,STARD5,normal,      -0.077
905935,DU-145,MPV17,normal,       1.642
905935,DU-145,FIP1L1,normal,      -1.186
905935,DU-145,ZNF732,normal,       1.114
905935,DU-145,PRADC1,normal,       0.761
905935,DU-145,ST8SIA5,normal,      -0.502
905935,DU-145,LRR1,over,       2.939
905935,DU-145,KDM4B,normal,      -1.791
905935,DU-145,C6orf141,normal,       1.116
905935,DU-145,PELP1,normal,       1.616
905935,DU-145,RDH10,normal,      -0.009
905935,DU-145,HERC6,normal,       1.231
905935,DU-145,TEX14,normal,      -0.941
905935,DU-145,EXTL2,normal,      -0.363
905935,DU-145,SUPT7L,normal,       0.037
905935,DU-145,RNF138,normal,       0.384
905935,DU-145,CCDC33,normal,      -0.155
905935,DU-145,FUT5,normal,      -0.369
905935,DU-145,WDR6,normal,       0.368
905935,DU-145,KRT7,normal,       1.810
905935,DU-145,OR10X1,normal,      -0.417
905935,DU-145,LRRC36,over,       2.107
