SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905970,EKVX,RAET1L,normal,       0.300
905970,EKVX,ZBTB3,normal,      -0.474
905970,EKVX,LMNTD1_ENST00000445693,normal,      -0.638
905970,EKVX,EFCAB7,normal,      -0.063
905970,EKVX,GLI1,normal,      -0.951
905970,EKVX,CFAP53,normal,       0.289
905970,EKVX,SMAD3,normal,       0.394
905970,EKVX,SNX17,normal,      -0.457
905970,EKVX,TMSB10,normal,       0.817
905970,EKVX,SOWAHA,normal,      -1.500
905970,EKVX,FCGRT,normal,       1.014
905970,EKVX,BCL11A,normal,      -0.658
905970,EKVX,MMP16,normal,      -0.779
905970,EKVX,RNF208,normal,      -0.323
905970,EKVX,INTS4,normal,       1.768
905970,EKVX,LRRC17,normal,       0.265
905970,EKVX,TGFBR2,normal,       0.778
905970,EKVX,ZNF750,normal,      -0.263
905970,EKVX,TFAP4,under,      -2.570
905970,EKVX,SLC39A8,normal,       0.921
905970,EKVX,PROSER2,normal,       0.943
905970,EKVX,CD46,normal,       1.993
905970,EKVX,SEPT8,normal,      -0.962
905970,EKVX,FEM1B,normal,      -0.059
905970,EKVX,CNTRL,normal,       0.277
905970,EKVX,GOLPH3L,normal,       1.223
905970,EKVX,MGP,normal,      -1.160
905970,EKVX,ACBD5,over,       2.071
905970,EKVX,USP9X,normal,      -0.250
905970,EKVX,ZNF701,normal,       1.006
905970,EKVX,GLRA1,normal,      -0.569
905970,EKVX,GREM2,normal,       0.069
905970,EKVX,CDK5RAP2,normal,       0.237
905970,EKVX,ARRDC1,normal,       0.469
905970,EKVX,APBA3,normal,       0.968
905970,EKVX,FXYD3,normal,       0.792
905970,EKVX,DCAF13,normal,       0.799
905970,EKVX,SIMC1,normal,      -0.508
905970,EKVX,SGIP1,normal,       0.396
905970,EKVX,COA3,normal,       1.243
905970,EKVX,C11orf87,normal,      -0.880
905970,EKVX,PURA,normal,       0.243
905970,EKVX,ZNF560,normal,      -1.057
905970,EKVX,RAB10,normal,      -1.191
905970,EKVX,SP3,normal,      -0.058
905970,EKVX,FURIN,normal,       0.610
905970,EKVX,CTF1,normal,       0.835
905970,EKVX,CTSW,normal,       0.072
905970,EKVX,SLC43A2,normal,       0.663
905970,EKVX,VEGFC,normal,       0.714
905970,EKVX,SLC1A7,normal,      -0.089
905970,EKVX,SEMA3F,normal,       0.753
905970,EKVX,KRT84,normal,      -0.630
905970,EKVX,C16orf74,normal,       0.069
905970,EKVX,C2orf80,normal,       0.233
905970,EKVX,CBX6,normal,       0.376
905970,EKVX,SPIN3,normal,       0.322
905970,EKVX,CSH1,normal,      -0.392
905970,EKVX,KCNE2,normal,      -0.708
905970,EKVX,GPRASP2,normal,      -0.213
905970,EKVX,TUSC1,normal,       1.025
905970,EKVX,PLXNA4,normal,      -1.419
905970,EKVX,SYMPK,normal,      -0.534
905970,EKVX,ADIPOR1,normal,       1.378
905970,EKVX,TTC32,normal,      -1.322
905970,EKVX,SLC38A9,normal,       0.539
905970,EKVX,ETV7,normal,      -1.489
905970,EKVX,OR13C8,normal,       0.670
905970,EKVX,C10orf55,normal,       1.087
905970,EKVX,APBA1,normal,       1.178
905970,EKVX,LEPR,normal,       1.583
905970,EKVX,XPO4,under,      -2.728
905970,EKVX,ALG1L,normal,       0.900
905970,EKVX,LYZL4,normal,      -0.417
905970,EKVX,ARHGAP12,normal,       0.776
905970,EKVX,GP2,normal,       0.925
905970,EKVX,POU6F2,normal,       1.366
905970,EKVX,ODF3B,normal,       1.880
905970,EKVX,MRPL43,normal,       1.630
905970,EKVX,OR1L4,normal,      -1.782
905970,EKVX,RAB29_ENST00000414729,normal,      -1.695
905970,EKVX,VPS8,normal,      -0.546
905970,EKVX,MMP10,normal,       1.443
905970,EKVX,UFD1_ENST00000360834,normal,       1.007
905970,EKVX,FAM219B,normal,       1.388
905970,EKVX,ID2,normal,       0.852
905970,EKVX,DPY19L4,normal,       1.980
905970,EKVX,HHIPL1,normal,      -0.138
905970,EKVX,CHORDC1,normal,       0.158
905970,EKVX,APOF,normal,       0.937
905970,EKVX,COL4A4,normal,       1.220
905970,EKVX,HMCN1,normal,      -1.094
905970,EKVX,UBE2J2,normal,      -1.439
905970,EKVX,EIF2B4,normal,      -0.366
905970,EKVX,FAM83E,normal,      -1.052
905970,EKVX,TEX47,normal,      -0.803
905970,EKVX,MRPL36,normal,       0.188
905970,EKVX,DEFB129,normal,      -0.300
905970,EKVX,MTBP,under,      -2.102
905970,EKVX,CDS2,normal,       1.128
905970,EKVX,SLC39A6,normal,       1.662
905970,EKVX,PDE6A,over,       2.128
905970,EKVX,PSMC5,normal,       1.622
905970,EKVX,C6orf203,normal,       0.055
905970,EKVX,NFE2L1,normal,       0.097
905970,EKVX,LDLRAP1,normal,      -0.199
905970,EKVX,IGFBPL1,normal,      -1.883
905970,EKVX,MAP3K11,normal,       0.374
905970,EKVX,IGF1,normal,      -1.813
905970,EKVX,ZFHX2,normal,      -0.261
905970,EKVX,SCARF1,normal,      -0.384
905970,EKVX,CABP5,normal,       0.066
905970,EKVX,TAC3,normal,      -1.760
905970,EKVX,GLRA2,normal,       0.215
905970,EKVX,DNMT3A,normal,       0.437
905970,EKVX,PARP14,normal,       0.147
905970,EKVX,GABRR1,normal,       1.715
905970,EKVX,HRASLS2,normal,       1.807
905970,EKVX,MYO19,normal,       0.523
905970,EKVX,TIMM13,normal,      -0.133
905970,EKVX,KRTAP6-2,normal,      -0.570
905970,EKVX,CHIC2,normal,       0.222
905970,EKVX,CCT4,under,      -4.221
905970,EKVX,PTGER4,normal,       0.370
905970,EKVX,HTN1,normal,       0.165
905970,EKVX,SEZ6L2,normal,       0.842
905970,EKVX,RYR2,normal,      -1.501
905970,EKVX,SPTBN5,normal,       0.164
905970,EKVX,ADAL,normal,       1.025
905970,EKVX,GDPD4,normal,       0.222
905970,EKVX,CD180,normal,       0.541
905970,EKVX,SCAP,normal,      -0.654
905970,EKVX,CLCN6,normal,      -0.774
905970,EKVX,ZNF197,normal,       0.712
905970,EKVX,MTX2,normal,      -0.031
905970,EKVX,TIMM17B,normal,       0.260
905970,EKVX,MEGF8,normal,       1.650
905970,EKVX,KCNA1,normal,      -0.147
905970,EKVX,PLCXD3,over,       2.619
905970,EKVX,ACAP2,under,      -2.245
905970,EKVX,SWI5,normal,      -0.226
905970,EKVX,CYP2A13,normal,      -0.197
905970,EKVX,DYNLRB2,normal,      -0.482
905970,EKVX,DRAM2,normal,      -0.074
905970,EKVX,SULT6B1,normal,      -1.364
905970,EKVX,BTBD11,normal,       0.103
905970,EKVX,CNPY4,normal,      -0.498
905970,EKVX,RHOBTB3,normal,       1.037
905970,EKVX,OR1L1,normal,      -0.110
905970,EKVX,DOCK9,normal,       0.762
