SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905971,HCC2998,HCK,normal,      -0.684
905971,HCC2998,ZFAT,normal,      -0.784
905971,HCC2998,OR6C2,normal,      -0.106
905971,HCC2998,DDX3Y,under,      -4.466
905971,HCC2998,AKR1C3,over,       2.221
905971,HCC2998,NUPL2,over,       2.429
905971,HCC2998,PKD2L2,normal,       0.756
905971,HCC2998,NF2,normal,      -0.270
905971,HCC2998,ZFAND2A,normal,       1.604
905971,HCC2998,WDR64,normal,      -0.007
905971,HCC2998,GPA33,over,       2.296
905971,HCC2998,CDK9,normal,       0.330
905971,HCC2998,FAM89A,normal,       0.538
905971,HCC2998,FAM107B,normal,      -1.734
905971,HCC2998,USP32,normal,      -0.048
905971,HCC2998,SUCLG2,normal,      -1.243
905971,HCC2998,SORCS3,normal,       0.065
905971,HCC2998,TNF,normal,      -1.007
905971,HCC2998,FKBP15,normal,       0.507
905971,HCC2998,PNPLA8,normal,       1.341
905971,HCC2998,SYNE4,normal,       1.398
905971,HCC2998,ELMSAN1,normal,      -0.436
905971,HCC2998,LIG3,normal,      -0.813
905971,HCC2998,RSPH4A,normal,       0.449
905971,HCC2998,EIF3I,normal,       0.005
905971,HCC2998,CRLS1,normal,       0.932
905971,HCC2998,LMO2,normal,       0.340
905971,HCC2998,ARSG,normal,      -0.539
905971,HCC2998,STAT3,normal,      -0.683
905971,HCC2998,CTSZ,normal,       1.124
905971,HCC2998,UCN3,normal,       1.039
905971,HCC2998,ARID2,under,      -2.961
905971,HCC2998,CNRIP1,normal,      -0.807
905971,HCC2998,ODF3L2,normal,      -0.300
905971,HCC2998,SDR42E1,normal,       0.902
905971,HCC2998,DNAJC21,normal,      -0.221
905971,HCC2998,SLC38A4,normal,      -0.542
905971,HCC2998,BSG,normal,      -0.926
905971,HCC2998,ANK1,normal,      -0.793
905971,HCC2998,FAM162A,normal,       0.682
905971,HCC2998,AP3S2,normal,      -0.157
905971,HCC2998,MYF6,normal,       0.776
905971,HCC2998,TYW1B,normal,      -0.586
905971,HCC2998,MTMR11,normal,       1.828
905971,HCC2998,B4GALT6,normal,       0.715
905971,HCC2998,REEP4,normal,       0.403
