SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905973,HOP-92,MS4A10,normal,      -0.868
905973,HOP-92,RIMBP2,normal,       0.293
905973,HOP-92,ARPC1A,over,       2.566
905973,HOP-92,MED10,normal,       1.870
905973,HOP-92,MAML1,normal,      -0.921
905973,HOP-92,PCP2,normal,       0.083
905973,HOP-92,C1orf112,normal,      -0.639
905973,HOP-92,PKMYT1,normal,      -1.584
905973,HOP-92,KANK4,normal,      -0.971
905973,HOP-92,FCN1,normal,      -1.110
905973,HOP-92,RPRML,normal,      -0.549
905973,HOP-92,IFIT1B,normal,      -0.844
905973,HOP-92,LMO3,normal,      -0.488
905973,HOP-92,NELFE,normal,      -0.046
905973,HOP-92,PIGA,normal,      -0.649
905973,HOP-92,C1orf94,normal,       0.920
905973,HOP-92,LIMD2,normal,      -0.582
905973,HOP-92,HLA-DRB5,normal,       1.222
905973,HOP-92,PDE4DIP,normal,       0.538
905973,HOP-92,AMD1,normal,      -1.256
905973,HOP-92,S100Z,normal,       0.639
905973,HOP-92,BACH2,normal,      -0.090
905973,HOP-92,NPDC1,normal,      -1.014
905973,HOP-92,MOV10L1,normal,      -1.021
905973,HOP-92,KCNE1,normal,      -0.958
905973,HOP-92,SNX32,normal,       0.583
905973,HOP-92,WFDC13,normal,      -0.219
905973,HOP-92,KIF5A,normal,       0.836
905973,HOP-92,ARHGEF3,normal,       0.463
905973,HOP-92,MEP1B,normal,      -0.450
905973,HOP-92,LHX9,normal,      -0.361
905973,HOP-92,NEBL,normal,       0.324
905973,HOP-92,ARMC3,normal,      -0.492
905973,HOP-92,NELFCD,normal,       0.577
905973,HOP-92,NUF2,normal,      -0.544
905973,HOP-92,PPARD,normal,       0.119
905973,HOP-92,KRTAP10-11,normal,       0.092
905973,HOP-92,AFG3L2,normal,      -0.239
905973,HOP-92,PSMB8,normal,      -0.438
905973,HOP-92,CCDC14,normal,      -0.630
905973,HOP-92,FSCN2,normal,      -0.359
905973,HOP-92,AP4B1,normal,       0.998
905973,HOP-92,TFAP2B,normal,      -0.207
905973,HOP-92,WRAP53,under,      -2.060
905973,HOP-92,NLRP9,normal,       1.572
905973,HOP-92,FTMT,normal,      -0.189
905973,HOP-92,ZNF853,normal,      -0.910
905973,HOP-92,SAMD4B,normal,      -0.443
905973,HOP-92,CCDC39,normal,       0.887
905973,HOP-92,TFPI2,normal,       1.604
905973,HOP-92,TRIP4,normal,       0.017
905973,HOP-92,RFX4,normal,      -0.154
905973,HOP-92,IPMK,normal,       0.759
905973,HOP-92,CCDC43,normal,      -1.562
905973,HOP-92,IL9,normal,       0.600
905973,HOP-92,COX18,normal,      -0.839
905973,HOP-92,OR51D1,normal,       0.735
905973,HOP-92,VWC2L,normal,      -1.616
905973,HOP-92,IFT20,normal,       0.781
905973,HOP-92,NOL11,normal,       0.033
905973,HOP-92,CLCA2,normal,       0.646
905973,HOP-92,NR1D1,normal,       0.293
905973,HOP-92,PLAG1,normal,       0.777
905973,HOP-92,RAB2A,normal,       0.750
905973,HOP-92,MAF,normal,       1.153
905973,HOP-92,OR10R2,normal,      -0.443
905973,HOP-92,E2F5,normal,       0.155
905973,HOP-92,LIMD1,normal,      -1.752
905973,HOP-92,GUCA1C,normal,      -0.131
905973,HOP-92,IL12RB1,normal,       0.106
905973,HOP-92,EHD1,normal,       0.216
905973,HOP-92,IRF2BP1,normal,       0.017
905973,HOP-92,STK38,normal,      -0.169
905973,HOP-92,WDR87,normal,       0.546
905973,HOP-92,RNMT,normal,      -0.462
905973,HOP-92,GPRASP2,normal,       0.617
905973,HOP-92,HRNR,normal,      -0.414
905973,HOP-92,GPHN,normal,      -0.230
905973,HOP-92,ABI3,normal,      -0.854
905973,HOP-92,TRIM38,normal,      -0.301
905973,HOP-92,WDSUB1,normal,       0.953
905973,HOP-92,FHDC1,normal,      -0.506
905973,HOP-92,CYP11A1,normal,       1.123
905973,HOP-92,FAM217B,normal,      -0.927
905973,HOP-92,TET1,normal,       0.337
905973,HOP-92,DEFA4,normal,       0.201
905973,HOP-92,NPC2,normal,       1.359
905973,HOP-92,MCL1,normal,      -0.182
905973,HOP-92,WDFY2,normal,      -0.082
905973,HOP-92,ABCD1,normal,       0.064
905973,HOP-92,IL5,normal,       0.288
905973,HOP-92,PNKP,normal,       0.557
905973,HOP-92,AZIN1,normal,       0.148
905973,HOP-92,OR7D4,normal,      -0.307
905973,HOP-92,ISG20,normal,      -0.469
905973,HOP-92,NUP43,normal,      -1.767
905973,HOP-92,UBE2E2,normal,       0.964
905973,HOP-92,AP3B2,normal,       0.006
905973,HOP-92,KCNJ2,normal,       0.098
905973,HOP-92,CBFA2T3,normal,      -0.810
905973,HOP-92,EARS2,normal,      -1.409
905973,HOP-92,PSMA4,normal,      -1.944
905973,HOP-92,LPO,normal,      -0.489
905973,HOP-92,STEAP4,normal,       0.591
905973,HOP-92,EMC8,normal,      -0.820
905973,HOP-92,GPATCH3,normal,       0.823
905973,HOP-92,KIF2C,normal,      -0.486
905973,HOP-92,DNAH10,under,      -2.232
905973,HOP-92,TSPAN16,normal,       1.482
905973,HOP-92,LHX5,normal,       0.350
905973,HOP-92,TEX30,normal,      -0.992
905973,HOP-92,PGAM2,normal,       0.594
905973,HOP-92,SLC17A1,normal,       0.274
905973,HOP-92,TC2N,normal,      -1.400
905973,HOP-92,FSTL5,normal,       1.279
905973,HOP-92,PRSS54,normal,       1.235
905973,HOP-92,TMEM158,normal,       1.288
905973,HOP-92,RPL11,normal,       0.764
905973,HOP-92,RUNX1,normal,       0.484
905973,HOP-92,SSB,normal,      -0.732
905973,HOP-92,IFT81,normal,      -0.783
905973,HOP-92,CNNM4,normal,       1.150
905973,HOP-92,TMEM63A,normal,       0.709
905973,HOP-92,PYCR1,normal,       1.034
905973,HOP-92,XKR6,normal,      -0.923
905973,HOP-92,HIST1H2BH,normal,      -0.961
905973,HOP-92,ENOX1,normal,       0.009
905973,HOP-92,SLC25A47,normal,       1.209
905973,HOP-92,TMEM229A,normal,       1.229
905973,HOP-92,ADGRE2_ENST00000353005,normal,      -0.566
905973,HOP-92,FCRLA,normal,       0.195
905973,HOP-92,EXOSC1,normal,      -0.302
905973,HOP-92,TYW5,normal,      -0.754
905973,HOP-92,ZNF217,normal,      -0.295
905973,HOP-92,ZNF93,normal,       0.039
905973,HOP-92,PHKG1,normal,       1.833
905973,HOP-92,A1BG,normal,       0.239
905973,HOP-92,C3orf35,normal,      -0.598
905973,HOP-92,OR5B17,normal,      -1.099
905973,HOP-92,APOL2,normal,      -0.637
905973,HOP-92,ACTR1A,normal,       0.445
905973,HOP-92,FAM219A,normal,       1.592
905973,HOP-92,OR8B4,normal,       0.483
905973,HOP-92,IQCA1,normal,       0.414
905973,HOP-92,MTNR1A,normal,      -0.600
905973,HOP-92,BCKDHB,normal,      -0.293
905973,HOP-92,APOD,normal,       0.459
905973,HOP-92,BUD13,normal,      -0.992
905973,HOP-92,KRTAP20-2,normal,       0.838
905973,HOP-92,COL20A1,normal,      -1.129
905973,HOP-92,TRIM9,normal,       0.167
905973,HOP-92,GSDMA,normal,       0.043
905973,HOP-92,KAT6B,normal,      -0.146
905973,HOP-92,YWHAB,normal,       0.324
905973,HOP-92,CBS,normal,      -0.018
905973,HOP-92,ZNF497,normal,      -0.098
905973,HOP-92,VOPP1,normal,       0.820
905973,HOP-92,COQ6,normal,       0.121
905973,HOP-92,PPP1R7,normal,       0.250
905973,HOP-92,ABHD3,normal,      -0.461
905973,HOP-92,CLDN19,normal,       0.495
905973,HOP-92,CRLF3,normal,       0.213
905973,HOP-92,PIGC,normal,       1.326
905973,HOP-92,BLCAP,normal,      -0.424
905973,HOP-92,PRDM4,normal,       0.559
905973,HOP-92,MTIF3,normal,      -0.104
905973,HOP-92,CCN5_ENST00000372865,over,       2.306
905973,HOP-92,DCAF13,normal,       0.205
905973,HOP-92,DPH2,normal,      -0.706
905973,HOP-92,HDAC7,normal,       0.093
905973,HOP-92,PLD4,normal,       0.877
905973,HOP-92,STRBP,normal,      -0.823
905973,HOP-92,ARL15,normal,       0.508
905973,HOP-92,C17orf97,normal,      -0.048
905973,HOP-92,KALRN,normal,       0.405
905973,HOP-92,UBE4A,normal,      -0.322
905973,HOP-92,GABRA3,over,       2.885
905973,HOP-92,ZNF132,normal,      -1.170
905973,HOP-92,HMGXB3,normal,       0.792
905973,HOP-92,ZNF415,normal,       1.030
905973,HOP-92,ATP6V1E2,normal,      -0.001
905973,HOP-92,CASP1,normal,       0.254
905973,HOP-92,MRPL33,normal,       0.876
905973,HOP-92,RBBP5,normal,       0.224
905973,HOP-92,NIPAL3,normal,       0.317
905973,HOP-92,SUPT16H,normal,       0.211
905973,HOP-92,MBTD1,normal,       0.070
905973,HOP-92,KRT10,normal,      -0.537
905973,HOP-92,C14orf177,normal,       0.660
905973,HOP-92,PPIL6,normal,      -0.914
905973,HOP-92,FRG1,normal,      -1.871
905973,HOP-92,SLC37A3,over,       2.050
905973,HOP-92,PGAP3_ENST00000579146,normal,      -0.755
905973,HOP-92,MAFG,normal,       0.841
905973,HOP-92,TOMM34,normal,       0.511
905973,HOP-92,LTB4R,normal,      -1.373
905973,HOP-92,NME6,normal,       1.347
905973,HOP-92,NOX1,normal,      -0.285
905973,HOP-92,MAP3K15,normal,      -0.209
905973,HOP-92,TOP1MT,normal,       1.900
905973,HOP-92,TSACC,normal,      -0.919
905973,HOP-92,TIGD6,normal,       1.059
905973,HOP-92,ATPAF2,normal,      -0.364
905973,HOP-92,DRICH1,normal,      -0.070
905973,HOP-92,NFYA,normal,       0.197
905973,HOP-92,USP15,normal,      -1.019
905973,HOP-92,TSPAN2,normal,       0.827
905973,HOP-92,ZNF471,normal,       0.428
905973,HOP-92,TSPAN13,normal,      -0.340
905973,HOP-92,ZMYND11,normal,       1.270
905973,HOP-92,ZBTB37,normal,      -1.366
905973,HOP-92,FTH1,normal,       1.397
905973,HOP-92,KRTAP2-2,normal,       0.119
905973,HOP-92,CTIF,normal,       0.792
905973,HOP-92,LEMD2,normal,      -0.254
905973,HOP-92,OGFOD1,normal,      -0.416
905973,HOP-92,EIF4EBP2,normal,       1.601
905973,HOP-92,LRRC8E,normal,       1.127
905973,HOP-92,MED22,normal,      -0.087
905973,HOP-92,MAD2L1,normal,      -1.317
905973,HOP-92,CDC42EP4,normal,       1.684
905973,HOP-92,PQLC2,normal,       1.598
905973,HOP-92,PREB,normal,       0.164
905973,HOP-92,ZBTB46,normal,       0.686
905973,HOP-92,MTMR10,normal,      -0.654
905973,HOP-92,RCN2,normal,       0.063
905973,HOP-92,MIPEP,normal,       0.107
905973,HOP-92,INPP5D,normal,      -0.115
905973,HOP-92,GNA11,normal,      -0.227
905973,HOP-92,C5orf64,normal,       0.422
905973,HOP-92,MKLN1,over,       2.217
905973,HOP-92,TCTEX1D4,over,       2.194
905973,HOP-92,FAM13C,normal,       1.611
905973,HOP-92,ZFP64,normal,      -0.202
905973,HOP-92,TERF1,normal,      -1.150
905973,HOP-92,KIAA1143,normal,       0.975
905973,HOP-92,KCNK7,normal,       0.904
905973,HOP-92,MBOAT7,over,       2.456
905973,HOP-92,GLIPR1,normal,       0.820
905973,HOP-92,PAXIP1,normal,       1.782
905973,HOP-92,MYOZ3,normal,       0.250
905973,HOP-92,FIP1L1,normal,      -1.336
905973,HOP-92,GRHL1,normal,      -0.314
905973,HOP-92,CPB1,normal,       0.385
905973,HOP-92,KRTAP13-3,normal,      -1.084
905973,HOP-92,SUSD3,normal,       0.478
905973,HOP-92,PLIN1,normal,       0.098
905973,HOP-92,MRPS31,normal,      -0.628
905973,HOP-92,ZNF623,normal,       0.376
905973,HOP-92,OTUD6A,normal,       0.288
905973,HOP-92,UCP3,normal,      -1.085
905973,HOP-92,SDR9C7,normal,      -0.971
905973,HOP-92,ADORA1,normal,       1.359
905973,HOP-92,CLPB,normal,      -0.399
905973,HOP-92,LAG3,normal,       0.563
905973,HOP-92,ZNF646,normal,      -0.886
905973,HOP-92,LXN,normal,       0.597
905973,HOP-92,RNF165,normal,      -0.369
905973,HOP-92,SMU1,normal,      -0.590
905973,HOP-92,SNRPF,normal,      -1.118
905973,HOP-92,HABP4,normal,       0.667
905973,HOP-92,CYP39A1,normal,       0.446
905973,HOP-92,RAB3GAP2,normal,       0.234
905973,HOP-92,PAG1,normal,       0.818
905973,HOP-92,PCDHB1,normal,       0.668
905973,HOP-92,EIF3I,normal,       1.299
905973,HOP-92,MAGED2,normal,       0.541
905973,HOP-92,FOS,normal,      -0.578
905973,HOP-92,LYPD6,under,      -2.526
905973,HOP-92,OR52I1,normal,      -0.757
905973,HOP-92,FAM83F,normal,       0.402
905973,HOP-92,CNKSR2_ENST00000279451,normal,      -0.445
905973,HOP-92,ENOSF1,normal,       0.689
905973,HOP-92,LRRC4B,normal,      -0.011
905973,HOP-92,SCN3B,normal,      -0.954
905973,HOP-92,PPP1R1C,normal,       1.254
905973,HOP-92,AIDA,over,       2.306
905973,HOP-92,CCDC8,normal,       0.681
905973,HOP-92,NEK4,normal,      -0.337
905973,HOP-92,KRTAP23-1,normal,       0.693
905973,HOP-92,FCRL1,normal,       0.099
905973,HOP-92,LINC01561,normal,       0.009
905973,HOP-92,KIF18A,normal,      -1.035
905973,HOP-92,VPS54,normal,       0.514
905973,HOP-92,AS3MT,normal,       0.675
905973,HOP-92,CD9,normal,       0.657
905973,HOP-92,HOXD8,normal,      -0.432
905973,HOP-92,UTF1,normal,       0.431
905973,HOP-92,KCTD8,normal,      -0.905
905973,HOP-92,WDR18,under,      -3.076
905973,HOP-92,UBE2L6,normal,       0.094
905973,HOP-92,USP20,normal,       0.131
905973,HOP-92,NUP214,normal,      -0.933
905973,HOP-92,CEP104,normal,       0.534
905973,HOP-92,ACER2,normal,       0.261
905973,HOP-92,SOX12,normal,      -0.251
905973,HOP-92,VNN3,normal,       0.646
905973,HOP-92,SZT2,normal,       0.969
905973,HOP-92,KCNK13,normal,       0.022
905973,HOP-92,TLR3,normal,      -0.965
905973,HOP-92,ATG12,normal,      -0.601
905973,HOP-92,TGM7,normal,      -0.320
905973,HOP-92,XXYLT1,normal,      -0.030
905973,HOP-92,CLDN9,normal,      -0.199
905973,HOP-92,NMD3,normal,       1.528
905973,HOP-92,UNC5D,normal,      -0.885
905973,HOP-92,PSMA5,normal,       0.871
905973,HOP-92,OR2L13,normal,      -0.255
905973,HOP-92,TMEM205,normal,       0.964
905973,HOP-92,SIAH1,normal,      -0.912
905973,HOP-92,PAQR6,normal,      -0.158
905973,HOP-92,KCND2,normal,      -0.238
905973,HOP-92,SNAP25,normal,       0.560
905973,HOP-92,MMP1,normal,       0.479
905973,HOP-92,POP4,normal,      -0.560
905973,HOP-92,COLEC10,normal,       0.203
905973,HOP-92,MAFB,normal,       0.269
905973,HOP-92,ACAT2,normal,      -1.372
905973,HOP-92,PDYN,normal,      -0.538
905973,HOP-92,HBS1L,normal,      -1.606
905973,HOP-92,CHCHD1,normal,       1.320
905973,HOP-92,CHTF18,normal,      -1.472
905973,HOP-92,ARIH2,normal,       0.433
905973,HOP-92,C20orf85,normal,      -1.306
905973,HOP-92,FBLN7,normal,       0.360
905973,HOP-92,SIRT7,normal,       0.756
905973,HOP-92,CADPS_ENST00000490353,normal,       1.264
905973,HOP-92,HEMGN,normal,      -0.477
905973,HOP-92,ELOC_ENST00000523815,normal,       0.522
905973,HOP-92,MCM9,normal,      -0.756
905973,HOP-92,RCOR1,under,      -2.805
905973,HOP-92,NUDT11,normal,      -1.926
905973,HOP-92,EEF2,normal,       0.081
905973,HOP-92,FAM227A,normal,      -0.116
905973,HOP-92,PIAS2,normal,      -0.315
905973,HOP-92,TP53BP1,normal,      -1.568
905973,HOP-92,TMEM200A,normal,      -0.029
905973,HOP-92,PRSS36,normal,       0.384
905973,HOP-92,C10orf67,normal,      -0.636
905973,HOP-92,UBASH3A,normal,       0.887
905973,HOP-92,HDAC11,normal,       1.475
905973,HOP-92,CYP27A1,normal,       1.214
905973,HOP-92,GCLC,normal,       0.563
905973,HOP-92,PSMG2,normal,      -0.238
905973,HOP-92,PUDP,normal,       0.223
905973,HOP-92,SLC15A1,normal,       0.732
905973,HOP-92,ISL1,normal,      -0.160
905973,HOP-92,MTRR,normal,       0.849
905973,HOP-92,ZSWIM1,normal,       0.982
905973,HOP-92,EPAS1,normal,       1.189
905973,HOP-92,KIAA0355,normal,       0.103
905973,HOP-92,CLCN4,normal,       0.594
905973,HOP-92,NT5DC3,normal,       0.475
905973,HOP-92,ZNF454,normal,      -0.286
905973,HOP-92,KCNJ12,normal,      -0.117
905973,HOP-92,TUBB,normal,      -0.728
905973,HOP-92,CLUL1,normal,       0.300
905973,HOP-92,NCL,normal,      -0.490
905973,HOP-92,P2RY10,normal,      -0.423
905973,HOP-92,TLE2,normal,      -0.992
905973,HOP-92,C16orf90,normal,       0.754
905973,HOP-92,HUNK,normal,       0.457
905973,HOP-92,RASSF6,normal,      -0.276
905973,HOP-92,PIWIL2,normal,       0.873
905973,HOP-92,MLLT10,normal,       0.394
905973,HOP-92,OR2A2,normal,       0.296
905973,HOP-92,EIF1B,normal,      -1.158
905973,HOP-92,CAB39L,normal,       0.146
905973,HOP-92,LINC00346,normal,       0.982
905973,HOP-92,FNIP1,normal,       0.391
905973,HOP-92,FZD8,normal,      -0.859
905973,HOP-92,PHKA2,normal,       0.080
905973,HOP-92,SPINK6,normal,      -0.466
905973,HOP-92,ANKRD49,normal,      -0.417
905973,HOP-92,FHAD1,normal,      -0.465
905973,HOP-92,DSCC1,normal,      -0.812
905973,HOP-92,BCAS2,normal,       0.144
905973,HOP-92,OR6C76,normal,      -0.297
905973,HOP-92,CXCL14,normal,      -0.019
905973,HOP-92,IGFL2,normal,       0.138
905973,HOP-92,SLC25A21,normal,      -0.637
905973,HOP-92,VIL1,normal,      -0.378
905973,HOP-92,PDCL3,normal,      -0.370
905973,HOP-92,TBC1D10C,normal,      -0.454
905973,HOP-92,NLRP2,normal,      -0.579
905973,HOP-92,SEMA6D,normal,      -0.653
905973,HOP-92,TPR,normal,      -1.443
905973,HOP-92,ABCG1,normal,       1.306
905973,HOP-92,CCDC73,normal,       0.838
905973,HOP-92,WWP2,normal,       0.090
905973,HOP-92,MYSM1,normal,      -1.221
905973,HOP-92,INCA1,normal,      -0.722
905973,HOP-92,MFSD2A,normal,      -0.166
905973,HOP-92,SPIC,normal,      -0.660
905973,HOP-92,EXTL3,normal,      -0.618
905973,HOP-92,ENDOU,normal,      -0.654
905973,HOP-92,NT5C1A,normal,       0.315
905973,HOP-92,TXNIP,normal,       1.863
905973,HOP-92,TMEM165,normal,      -0.312
905973,HOP-92,BAG6,normal,      -0.854
905973,HOP-92,TLR7,normal,      -0.671
905973,HOP-92,AVPR2,normal,      -0.700
905973,HOP-92,VAT1L,normal,       0.104
905973,HOP-92,FICD,normal,      -0.437
905973,HOP-92,CRIP3,normal,      -1.147
905973,HOP-92,ASPHD1,normal,       0.752
905973,HOP-92,MFSD5,normal,       0.300
905973,HOP-92,HPR,normal,      -0.058
905973,HOP-92,ALAS2,normal,       1.127
905973,HOP-92,TET3,normal,       0.738
905973,HOP-92,GULP1,normal,       0.399
905973,HOP-92,TEDDM1,normal,      -1.029
905973,HOP-92,HELQ,normal,      -0.750
905973,HOP-92,SDC3,over,       2.065
905973,HOP-92,CCDC85A,normal,      -1.088
905973,HOP-92,TRAM1,normal,       0.422
905973,HOP-92,YRDC,normal,      -0.015
905973,HOP-92,TH,normal,       0.436
905973,HOP-92,PIGG,normal,       0.032
905973,HOP-92,SMARCA2,normal,      -0.836
905973,HOP-92,TSPAN5,normal,       0.518
905973,HOP-92,EIF3B,over,       2.329
905973,HOP-92,PTGES2,normal,       0.838
905973,HOP-92,DGKI,normal,       1.084
905973,HOP-92,EMC10,normal,       0.306
905973,HOP-92,DIRAS2,normal,      -1.184
905973,HOP-92,SBK1,normal,      -1.705
905973,HOP-92,SIT1,normal,       0.105
905973,HOP-92,CMYA5,normal,      -1.226
905973,HOP-92,RBM22,normal,      -1.239
905973,HOP-92,ERI2,normal,      -1.291
905973,HOP-92,MAGEA8,normal,       0.111
905973,HOP-92,FKBP7,normal,       0.572
905973,HOP-92,SOCS3,normal,      -0.078
905973,HOP-92,GTPBP1,normal,      -0.303
905973,HOP-92,SRF,normal,      -1.172
905973,HOP-92,TNRC6C,normal,       0.422
905973,HOP-92,MRFAP1L1,normal,       0.504
905973,HOP-92,AZI2,normal,       0.462
905973,HOP-92,RTTN,normal,      -1.263
905973,HOP-92,C10orf88,normal,      -0.934
905973,HOP-92,NCALD,normal,      -1.233
905973,HOP-92,REXO4,normal,       0.416
905973,HOP-92,RBM47,normal,       0.135
905973,HOP-92,VWA8,normal,      -0.621
905973,HOP-92,IFNA10,normal,       1.148
905973,HOP-92,KRTAP19-5,normal,       0.568
905973,HOP-92,HDGF,normal,       1.091
905973,HOP-92,KRTAP20-3,normal,       0.182
905973,HOP-92,MED13,normal,      -0.414
905973,HOP-92,MSH6,normal,      -0.416
905973,HOP-92,MGAT4A,normal,      -0.153
905973,HOP-92,DUSP19,normal,      -0.071
905973,HOP-92,CERS5,normal,       0.340
905973,HOP-92,EPHA8,normal,      -0.959
905973,HOP-92,AKAP9,normal,       0.370
905973,HOP-92,CHEK1,normal,      -1.333
905973,HOP-92,NSMCE1,normal,       0.013
905973,HOP-92,TAS2R38,normal,      -0.339
905973,HOP-92,INTS7,normal,       1.256
905973,HOP-92,CFAP77_ENST00000393216,normal,      -0.789
905973,HOP-92,SGSH,over,       2.447
905973,HOP-92,HCAR1,normal,       0.697
905973,HOP-92,TMED9,normal,       1.121
905973,HOP-92,SEC13,normal,      -0.153
905973,HOP-92,OR1C1,normal,       0.334
905973,HOP-92,RPS24,normal,       0.557
905973,HOP-92,ADCK2,normal,       0.386
905973,HOP-92,CD300C,normal,       0.392
905973,HOP-92,YEATS4,normal,      -0.926
905973,HOP-92,NASP,normal,      -0.382
905973,HOP-92,CD40,normal,       0.748
905973,HOP-92,LRP1B,normal,       0.792
905973,HOP-92,CHST9,normal,      -1.219
905973,HOP-92,SLC9A8,normal,       0.314
905973,HOP-92,PRMT3,normal,      -0.389
905973,HOP-92,CTSG,normal,      -0.519
905973,HOP-92,MIOS,normal,       1.365
905973,HOP-92,SLC2A4,normal,      -0.566
905973,HOP-92,BBS10,normal,      -0.129
905973,HOP-92,YWHAH,normal,      -1.039
905973,HOP-92,GAN,normal,      -0.705
905973,HOP-92,CYYR1,normal,       0.230
905973,HOP-92,GPR32,normal,      -0.213
905973,HOP-92,NAV3,normal,       0.557
905973,HOP-92,ZSCAN30,normal,       0.973
905973,HOP-92,CTHRC1,normal,       1.616
905973,HOP-92,GHITM,normal,      -0.439
905973,HOP-92,TAF7L,normal,      -0.226
905973,HOP-92,SLC17A4,normal,      -0.690
905973,HOP-92,FCAR,normal,       0.047
905973,HOP-92,ALDH16A1,normal,      -0.458
905973,HOP-92,CDH15,normal,       0.084
905973,HOP-92,PDZRN3,normal,      -0.343
905973,HOP-92,DERL1,normal,       0.618
905973,HOP-92,FOXE3,normal,       0.567
905973,HOP-92,NUDT19,normal,      -0.058
905973,HOP-92,PRR32,normal,      -0.320
905973,HOP-92,CYBA,normal,       0.194
905973,HOP-92,ARHGEF18,normal,       0.116
905973,HOP-92,CRY1,normal,      -1.038
905973,HOP-92,PLEKHG1,normal,      -0.155
905973,HOP-92,SCGB1D4,normal,      -1.179
905973,HOP-92,NOTCH2,normal,       0.774
905973,HOP-92,GCGR,normal,      -0.571
905973,HOP-92,TEX101,normal,       0.720
905973,HOP-92,TUBA3C,normal,      -0.067
905973,HOP-92,SMPD4,normal,      -0.009
905973,HOP-92,SPRY2,normal,       0.414
905973,HOP-92,IFIT2,normal,       0.993
905973,HOP-92,SRCAP,normal,      -1.095
905973,HOP-92,FHL3,normal,       0.245
905973,HOP-92,ARSK,normal,       1.189
905973,HOP-92,SHISAL1,normal,       0.579
905973,HOP-92,NUP205,normal,       0.881
905973,HOP-92,KCNA5,normal,       0.709
905973,HOP-92,MLLT6,normal,      -0.701
905973,HOP-92,PKIA,normal,      -0.012
905973,HOP-92,SMC5,normal,       0.494
905973,HOP-92,TAS2R7,normal,      -0.211
905973,HOP-92,ANAPC4,normal,       0.162
905973,HOP-92,SLC38A5,normal,       0.803
905973,HOP-92,RHOBTB3,normal,       0.305
905973,HOP-92,CA7,normal,       0.953
905973,HOP-92,TRIM71,normal,       0.824
905973,HOP-92,HSP90AA1,normal,       0.236
905973,HOP-92,LBR,normal,       0.244
905973,HOP-92,TAF1D,normal,       0.141
905973,HOP-92,TFAP2C,normal,       0.079
905973,HOP-92,FAM135B,normal,       0.320
905973,HOP-92,SFRP5,normal,      -1.488
905973,HOP-92,SPANXN2,normal,       0.034
905973,HOP-92,SMCHD1,normal,      -0.685
905973,HOP-92,ZNF606,normal,      -0.123
905973,HOP-92,DEPDC5,normal,      -1.108
905973,HOP-92,KPNA4,normal,       1.008
905973,HOP-92,KRT79,normal,      -0.418
905973,HOP-92,FLAD1,normal,       0.010
905973,HOP-92,ZNF571,normal,      -0.325
905973,HOP-92,C9orf16,normal,       0.218
905973,HOP-92,PAPPA,normal,       0.996
905973,HOP-92,KIF1BP,normal,       1.254
905973,HOP-92,DERL3,normal,       0.132
905973,HOP-92,MYO1H,normal,       0.031
905973,HOP-92,CLK3,normal,      -0.371
905973,HOP-92,DHX9,normal,      -0.312
905973,HOP-92,RYK,normal,       0.538
905973,HOP-92,CYP7B1,normal,       0.326
905973,HOP-92,SIX4,normal,       0.588
905973,HOP-92,GLTP,normal,       0.586
905973,HOP-92,PDRG1,normal,       0.548
905973,HOP-92,DSP,normal,      -1.172
905973,HOP-92,ALDOA,normal,      -0.555
905973,HOP-92,GTF3C2,normal,      -0.233
905973,HOP-92,ZCCHC24,over,       2.170
905973,HOP-92,TNNT2,normal,       0.687
905973,HOP-92,CPSF1,normal,       0.040
905973,HOP-92,BBS12,normal,      -0.261
905973,HOP-92,VPS28,normal,       0.446
905973,HOP-92,ULK1,normal,      -0.055
905973,HOP-92,SLC38A9,normal,      -0.153
905973,HOP-92,SYMPK,normal,      -0.466
905973,HOP-92,ST6GALNAC5,normal,       0.984
905973,HOP-92,LMO4,normal,       0.390
905973,HOP-92,SNED1,normal,      -0.555
905973,HOP-92,CXCR3,normal,       0.036
905973,HOP-92,EIF4B,normal,       0.456
905973,HOP-92,ST3GAL6,normal,       0.764
905973,HOP-92,ATXN10,normal,      -0.833
905973,HOP-92,NIPAL4,normal,       0.042
905973,HOP-92,UNK,normal,       0.850
905973,HOP-92,CCNJ,normal,      -1.559
905973,HOP-92,DHH,normal,      -0.434
905973,HOP-92,CELF4,normal,      -0.145
905973,HOP-92,ARGLU1,normal,      -0.942
905973,HOP-92,CCDC149,normal,       1.415
