SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905939,HT-29,CCT8,normal,      -1.492
905939,HT-29,SEC16A,normal,       1.194
905939,HT-29,KCNIP3,normal,      -0.396
905939,HT-29,PCF11,normal,       0.414
905939,HT-29,ADGRF4_ENST00000327753,normal,       0.573
905939,HT-29,PARM1,normal,       0.076
905939,HT-29,EGLN1,normal,       0.607
905939,HT-29,NOD2,normal,      -1.557
905939,HT-29,SLC9C1,normal,       1.055
905939,HT-29,PPP5C,normal,       0.457
905939,HT-29,SNRPG,normal,      -1.006
905939,HT-29,ARHGAP9,normal,      -0.078
905939,HT-29,INHBE,normal,       0.108
905939,HT-29,NDFIP1,normal,      -0.497
905939,HT-29,WDR48,normal,      -0.991
905939,HT-29,FAM227B,over,       2.247
905939,HT-29,CRTAC1,normal,      -0.454
905939,HT-29,CEP78,normal,      -1.286
905939,HT-29,LRRC24,normal,       0.607
905939,HT-29,C9orf66,normal,      -0.419
905939,HT-29,TACR3,normal,       1.311
905939,HT-29,TNNI3,normal,       1.040
905939,HT-29,SLC10A4,normal,       0.319
905939,HT-29,LRRC10B,normal,       0.313
905939,HT-29,PHF8,normal,       0.051
905939,HT-29,CAMTA1,normal,       0.909
905939,HT-29,DSCR4,normal,      -0.835
905939,HT-29,CPEB2,normal,      -0.380
905939,HT-29,MBD6,normal,       0.864
905939,HT-29,CDKN1C,normal,       0.905
905939,HT-29,HCN3,normal,       0.606
905939,HT-29,CHCHD4,normal,      -1.119
905939,HT-29,JAM3,normal,      -0.638
905939,HT-29,ENTPD5,normal,       1.039
905939,HT-29,SSBP3,normal,       0.487
905939,HT-29,TGM1,normal,       0.384
905939,HT-29,ZAP70,normal,      -0.200
905939,HT-29,DDX4,normal,      -0.183
905939,HT-29,CERS2,normal,       1.634
905939,HT-29,HPSE2,normal,       0.050
905939,HT-29,GPR63,normal,      -1.020
905939,HT-29,PXK,under,      -2.630
905939,HT-29,CDH16,normal,      -0.050
905939,HT-29,HSD11B2,normal,       0.929
905939,HT-29,MAGOHB,normal,      -0.339
905939,HT-29,C2orf83,normal,       1.261
905939,HT-29,SNX9,normal,      -0.374
905939,HT-29,TNFRSF10B,normal,      -0.763
905939,HT-29,DCAF8,normal,       0.070
905939,HT-29,TMEM38A,normal,       0.788
905939,HT-29,MCAM,normal,       0.104
905939,HT-29,PTGES3,normal,       0.142
905939,HT-29,INPP4A,normal,      -1.270
905939,HT-29,COL22A1,normal,      -1.505
905939,HT-29,ELL2,normal,       0.200
905939,HT-29,RAB1A,normal,       0.802
905939,HT-29,TPSAB1,normal,      -0.029
905939,HT-29,GPR156,normal,      -0.104
905939,HT-29,ZSCAN22,normal,       0.368
905939,HT-29,CACNA2D1,normal,      -0.208
905939,HT-29,ANKRD10,normal,       1.628
905939,HT-29,NKPD1,over,       2.420
905939,HT-29,IL1RAPL1,normal,       0.212
905939,HT-29,PHLDB2,normal,      -1.409
905939,HT-29,CDKL5,normal,       1.070
905939,HT-29,MCC,normal,      -0.929
905939,HT-29,REST,normal,       0.398
905939,HT-29,CCDC146,normal,      -0.677
905939,HT-29,KRT12,over,       2.378
905939,HT-29,SHISA9,normal,      -1.630
905939,HT-29,CXCR2,normal,       0.002
905939,HT-29,TM4SF5,normal,       1.489
905939,HT-29,ZNF606,normal,      -1.470
905939,HT-29,NXPE3,normal,      -1.455
905939,HT-29,SEMA4B,normal,       1.976
905939,HT-29,TMEM72,normal,      -1.622
905939,HT-29,HAS2,normal,       0.260
905939,HT-29,NEXN,normal,      -0.411
905939,HT-29,GMEB2,over,       2.417
905939,HT-29,CHD7,normal,       0.465
905939,HT-29,FAM204A,normal,      -0.087
905939,HT-29,NTNG2,normal,      -0.594
905939,HT-29,SNX27,normal,       0.267
905939,HT-29,EEFSEC,normal,       1.020
905939,HT-29,MECR,normal,      -0.067
905939,HT-29,XYLT2,normal,      -0.353
905939,HT-29,ZNF396,normal,       0.548
905939,HT-29,CLDN9,over,       2.197
905939,HT-29,ITGB6,normal,       1.186
905939,HT-29,TSPAN6,normal,      -0.029
905939,HT-29,TOP1MT,normal,       0.607
905939,HT-29,ALOX12,normal,      -0.073
905939,HT-29,IRF2BP1,normal,       0.956
905939,HT-29,ZNF672,normal,      -0.429
905939,HT-29,CXCL12,normal,      -1.534
905939,HT-29,SPG7,normal,      -0.430
905939,HT-29,PLEKHA2,normal,      -1.374
905939,HT-29,TRIM54,over,       2.598
905939,HT-29,ZFAND3,normal,       0.878
905939,HT-29,GLOD5,normal,       0.784
905939,HT-29,RPL4,normal,       1.569
905939,HT-29,TRABD,normal,       0.180
905939,HT-29,SNCA,normal,      -0.595
905939,HT-29,BCL6B,normal,      -0.346
905939,HT-29,KCTD3,normal,       0.413
905939,HT-29,SLC43A1,normal,       1.295
905939,HT-29,PAQR7,normal,       0.493
905939,HT-29,OR2T10,normal,      -0.165
905939,HT-29,BSN,normal,      -1.020
905939,HT-29,BMI1,normal,      -0.399
905939,HT-29,CHORDC1,normal,      -1.007
905939,HT-29,ZP4,normal,      -0.053
905939,HT-29,RNF220,normal,       1.130
905939,HT-29,OSBPL11,normal,      -1.161
905939,HT-29,KCNE5,normal,       0.921
905939,HT-29,FBXO16,normal,      -1.119
905939,HT-29,TUBE1,normal,       0.515
905939,HT-29,UFSP2,normal,      -1.640
905939,HT-29,SMYD4,normal,      -1.893
905939,HT-29,TNFRSF9,normal,      -0.142
905939,HT-29,OR8G1,normal,      -1.719
905939,HT-29,NFKB2,normal,       0.093
905939,HT-29,AQR,normal,       1.192
905939,HT-29,LYPD6B,normal,       0.521
905939,HT-29,KLRF1,normal,      -0.003
905939,HT-29,SYNGAP1,normal,      -0.044
905939,HT-29,TMED9,normal,      -0.046
905939,HT-29,ARTN_ENST00000472435,normal,      -0.843
905939,HT-29,FBXO36,normal,      -0.238
905939,HT-29,LRRC73,normal,       0.231
905939,HT-29,S100A11,normal,       1.030
905939,HT-29,AHCYL2,normal,      -0.123
905939,HT-29,GAS2L1,normal,       0.350
905939,HT-29,INTS4,normal,      -0.391
905939,HT-29,DONSON,under,      -2.589
905939,HT-29,GDAP1,normal,      -1.543
905939,HT-29,ORAI1,normal,      -0.309
905939,HT-29,LRRC17,normal,      -0.579
905939,HT-29,SORCS3,normal,      -0.894
905939,HT-29,FAM185A,normal,      -0.176
905939,HT-29,TM4SF18,normal,      -0.869
905939,HT-29,KRTAP19-2,normal,       0.169
905939,HT-29,C4orf50,normal,       1.512
905939,HT-29,RFWD3,normal,      -1.680
905939,HT-29,FAM171A2,normal,       0.080
905939,HT-29,IL4,normal,      -1.409
905939,HT-29,ZNF146,normal,       0.797
905939,HT-29,GTF2H3,normal,      -0.264
905939,HT-29,SEPT10,normal,       0.541
905939,HT-29,ANKRD53,normal,      -0.931
905939,HT-29,PPA1,normal,       1.530
905939,HT-29,ERI3,normal,       0.719
