SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905940,K-562,USP19,normal,       0.660
905940,K-562,LPCAT4,normal,      -1.712
905940,K-562,LCE1C,normal,       1.098
905940,K-562,IRGQ,normal,      -1.460
905940,K-562,ZBTB33,normal,      -0.114
905940,K-562,TRNAU1AP,over,       2.099
905940,K-562,PRAC1,normal,       0.788
905940,K-562,GADL1,normal,      -0.664
905940,K-562,APOL4,over,       2.074
905940,K-562,SGSH,normal,       0.770
905940,K-562,AACS,normal,      -0.353
905940,K-562,YEATS4,normal,       0.726
905940,K-562,HSD17B3,normal,       0.268
905940,K-562,MTX3,normal,      -0.842
905940,K-562,PNPLA8,normal,       1.519
905940,K-562,HSD17B13,normal,       0.289
905940,K-562,CARNS1,normal,      -0.446
905940,K-562,UACA,normal,      -1.224
905940,K-562,KIF14,normal,       1.856
905940,K-562,SSX2IP,over,       2.449
905940,K-562,WDR60,over,       3.135
905940,K-562,OR8J1,normal,       1.069
905940,K-562,MED19,normal,      -0.145
905940,K-562,SGTA,normal,       0.008
905940,K-562,VOPP1,normal,      -0.344
905940,K-562,SH3TC2,normal,       0.703
905940,K-562,TRAF7,normal,       1.455
905940,K-562,SYT8,normal,       0.441
905940,K-562,GUF1,normal,       0.785
905940,K-562,PTCD1,normal,       1.374
905940,K-562,SERINC1,normal,      -0.746
905940,K-562,ABCB7,normal,       1.007
905940,K-562,PDILT,normal,       1.191
905940,K-562,UBE4B,over,       2.242
905940,K-562,PDCD6,normal,       1.036
905940,K-562,YARS2,normal,      -0.258
905940,K-562,SLC5A5,normal,       1.515
905940,K-562,C11orf87,normal,      -0.426
905940,K-562,UBXN4,normal,       0.771
905940,K-562,ECM1,normal,       1.052
905940,K-562,SLC4A3,normal,       0.166
905940,K-562,TBX20,normal,       0.472
905940,K-562,C16orf91,normal,      -0.804
905940,K-562,ZNF121,normal,      -0.080
905940,K-562,GLRB,normal,      -1.099
905940,K-562,KLHDC9,normal,      -0.917
905940,K-562,GNAO1,normal,       0.670
905940,K-562,TIPRL,normal,       1.437
905940,K-562,TMCO3,normal,       0.191
905940,K-562,CAMTA2,normal,       0.087
905940,K-562,NPPA,normal,       1.574
905940,K-562,KRTAP3-3,normal,       1.856
905940,K-562,POLM,normal,      -1.119
905940,K-562,FAM172A,normal,      -1.764
905940,K-562,RAPSN,normal,       1.238
905940,K-562,CNBP,normal,      -0.689
905940,K-562,KRT4,normal,       0.677
905940,K-562,STMN3,normal,       0.212
905940,K-562,STC2,normal,       0.312
905940,K-562,NKX2-4,normal,       1.008
905940,K-562,FAM118B,normal,      -0.976
905940,K-562,PNOC,normal,      -1.052
905940,K-562,CHRNB1,normal,      -0.279
905940,K-562,YARS,over,       3.525
905940,K-562,TAS2R8,normal,       0.443
905940,K-562,MYO1E,normal,      -1.462
905940,K-562,NR3C1,normal,       0.121
905940,K-562,ITPKB,normal,      -0.577
905940,K-562,RPAIN,normal,      -1.413
905940,K-562,APOBEC3B,normal,       1.007
905940,K-562,LDB2,normal,      -0.224
905940,K-562,DHRS12,normal,      -0.687
905940,K-562,SENP1,normal,       1.616
905940,K-562,RBM33,normal,       0.508
905940,K-562,CPVL,normal,      -0.293
905940,K-562,MRPS36,normal,       1.968
905940,K-562,RNF43,normal,       0.206
905940,K-562,RBPMS2,normal,       0.516
905940,K-562,LASP1,normal,       0.650
905940,K-562,LEO1,normal,      -0.432
905940,K-562,KCNJ9,normal,       1.717
905940,K-562,KLHL35,normal,      -0.444
905940,K-562,C5orf56,normal,      -0.111
905940,K-562,IL1RL2,normal,       0.173
905940,K-562,RFX8,normal,       0.666
905940,K-562,ZSWIM3,normal,       0.769
905940,K-562,MTO1,normal,       1.870
905940,K-562,TP53BP1,normal,       0.236
905940,K-562,KIF7,normal,       0.102
905940,K-562,KCNJ11,normal,       1.002
905940,K-562,FAM210A,normal,      -0.109
905940,K-562,LUZP2,normal,       0.456
905940,K-562,SFTPB,normal,       1.370
905940,K-562,RAB3D,under,      -2.195
905940,K-562,LEXM_ENST00000358193,normal,      -0.618
905940,K-562,TTC31,normal,       1.096
905940,K-562,NME3,normal,      -0.213
905940,K-562,HRCT1,normal,       0.533
905940,K-562,SLC7A3,normal,       0.183
905940,K-562,HIST1H1B,normal,       1.574
905940,K-562,GPATCH1,normal,       0.231
905940,K-562,KRT39,normal,       1.568
905940,K-562,TUSC3,normal,       0.659
905940,K-562,GOLIM4,normal,       0.835
905940,K-562,HS6ST3,normal,       0.256
905940,K-562,DPY30,normal,      -0.756
905940,K-562,XPC,normal,       0.930
905940,K-562,C6orf118,over,       2.109
905940,K-562,NT5DC3,normal,       1.499
905940,K-562,TM9SF3,under,      -2.160
905940,K-562,OR6B2,normal,      -0.773
905940,K-562,DHRS2,normal,       1.786
905940,K-562,ITM2A,normal,       1.195
905940,K-562,ZNF385C,normal,      -0.444
905940,K-562,ANXA3,normal,       0.080
905940,K-562,PRSS37,normal,       0.303
905940,K-562,RUNX2,normal,      -0.004
905940,K-562,SLC5A9,normal,       0.828
905940,K-562,C5orf47,normal,      -0.493
905940,K-562,PGLYRP4,normal,       1.635
905940,K-562,NAALAD2,normal,      -0.122
905940,K-562,TBC1D23,normal,       1.424
905940,K-562,PTPRJ,normal,       0.224
905940,K-562,RNF214,normal,       1.014
905940,K-562,ATF6B,normal,       1.947
905940,K-562,PTCH1,normal,      -0.160
905940,K-562,GZMH,over,       2.177
905940,K-562,SCN1B,normal,       0.793
905940,K-562,OR13C4,normal,      -0.460
905940,K-562,EXTL3,normal,      -0.444
905940,K-562,TLCD1,normal,       0.452
905940,K-562,DISP1,normal,      -0.221
905940,K-562,PLK3,normal,       0.729
905940,K-562,EIF4G2,normal,      -0.833
905940,K-562,SPIC,normal,      -1.461
905940,K-562,CCDC54,normal,      -0.574
905940,K-562,COPS2,normal,       1.585
905940,K-562,CALHM6,normal,      -0.744
905940,K-562,GEMIN2,normal,       0.239
905940,K-562,MIDN,normal,       0.376
905940,K-562,NR2C1,normal,       0.038
905940,K-562,RBBP8NL,normal,       1.016
905940,K-562,AGMO,normal,       0.380
905940,K-562,CST9L,normal,       0.076
905940,K-562,LRCH1,under,      -2.105
905940,K-562,JAK3,normal,       0.694
905940,K-562,MAPKAP1,normal,      -1.156
905940,K-562,RARRES1,normal,      -1.266
905940,K-562,NABP2,normal,      -1.000
905940,K-562,ANKRD34B,normal,       0.745
905940,K-562,HEXIM2,normal,      -1.440
905940,K-562,MRPS18B,normal,       1.722
905940,K-562,ZFAND4,normal,      -0.163
905940,K-562,NDUFB11,normal,       0.606
905940,K-562,OR10G4,normal,      -0.140
905940,K-562,OR5M11,normal,      -1.288
905940,K-562,PFKFB2,normal,       0.624
905940,K-562,ITGA3,under,      -2.160
905940,K-562,PLAT,normal,      -0.141
905940,K-562,OLFM4,normal,      -0.369
905940,K-562,WDR20,normal,      -1.312
905940,K-562,RGS10,normal,       1.097
905940,K-562,ZBTB43,normal,       0.007
905940,K-562,SIX3,normal,      -1.403
905940,K-562,CWF19L2,normal,       1.167
905940,K-562,BTBD8,normal,      -0.131
905940,K-562,UNC5CL,normal,       1.204
905940,K-562,MTMR8,normal,       1.590
905940,K-562,TMEM154,normal,       0.605
905940,K-562,TNR,normal,       1.664
905940,K-562,USP8,normal,       0.547
905940,K-562,CKS2,normal,       0.038
905940,K-562,MRPL33,normal,      -0.191
905940,K-562,MS4A14,normal,      -0.940
905940,K-562,PAIP2,normal,       0.920
905940,K-562,PHIP,normal,       0.032
905940,K-562,ZNF385B,normal,       0.631
905940,K-562,SAMD15,normal,       1.105
905940,K-562,MAN2A2,over,       2.214
905940,K-562,DDX28,normal,       0.383
905940,K-562,TLL1,normal,       0.420
905940,K-562,CDH24,normal,       1.801
905940,K-562,ZBTB47,normal,      -0.212
905940,K-562,PURB,normal,       0.142
905940,K-562,PRTG,normal,      -0.129
905940,K-562,TPRG1,normal,      -0.322
905940,K-562,OASL,normal,      -0.256
905940,K-562,EML6,normal,      -1.289
905940,K-562,TSPAN33,normal,      -1.591
905940,K-562,ZNF142,normal,      -0.647
905940,K-562,RNF25,normal,      -1.120
905940,K-562,CASZ1,normal,      -0.743
905940,K-562,RBMS3,normal,      -0.699
905940,K-562,CBX2,normal,       0.198
905940,K-562,TMPRSS5,normal,       0.455
905940,K-562,G6PC2,normal,       1.733
905940,K-562,C4orf48,normal,       0.201
905940,K-562,COL4A3BP,normal,      -0.592
905940,K-562,FIZ1,normal,       0.501
905940,K-562,IFITM10,normal,      -0.271
905940,K-562,BOK,normal,      -0.910
905940,K-562,FAM83E,normal,      -0.547
905940,K-562,CACNB3,normal,      -0.085
905940,K-562,IL3RA,normal,       0.012
905940,K-562,HEY2,normal,      -1.188
905940,K-562,PCNT,normal,       1.070
905940,K-562,LMNA,normal,       0.137
905940,K-562,ADAM30,normal,      -0.972
905940,K-562,SYNC,normal,       0.716
905940,K-562,NARS,normal,       0.757
905940,K-562,PRSS57,normal,       1.664
905940,K-562,BACH2,normal,       0.485
905940,K-562,MSGN1,normal,      -1.435
905940,K-562,SLC41A2,normal,      -0.740
905940,K-562,TMEM50A,over,       2.369
905940,K-562,ARMC1,normal,       0.451
905940,K-562,SHC3,normal,      -1.525
905940,K-562,IRAK3,normal,      -1.159
905940,K-562,ZNF33B,normal,       1.754
905940,K-562,AURKAIP1_ENST00000338338,normal,       0.207
905940,K-562,CCDC155,normal,      -0.241
905940,K-562,DEFB116,normal,       0.946
905940,K-562,ICK,normal,      -1.710
905940,K-562,ADH7,normal,       0.993
905940,K-562,ZP1,normal,       0.781
905940,K-562,C9orf57,normal,       0.266
905940,K-562,TAF8,over,       2.088
905940,K-562,CHGB,normal,      -0.357
905940,K-562,PRH2,over,       2.267
905940,K-562,LIM2,normal,       0.500
905940,K-562,ATL2,normal,       0.491
905940,K-562,PSMB9,normal,      -0.961
905940,K-562,ZKSCAN5,over,       2.434
905940,K-562,MYCBP2_ENST00000407578,normal,      -1.806
905940,K-562,INSM1,normal,       0.468
905940,K-562,ABHD16B,normal,       1.094
905940,K-562,RAB8A,normal,      -0.566
905940,K-562,EXOSC1,normal,       1.551
905940,K-562,PCDHB5,normal,      -0.457
905940,K-562,NT5C,normal,       0.811
905940,K-562,YWHAQ,normal,      -0.975
905940,K-562,RNFT2,normal,       0.584
905940,K-562,GPSM3,normal,       0.814
905940,K-562,SGO1_ENST00000417364,over,       2.877
905940,K-562,CEP164,normal,       0.524
905940,K-562,RUNDC3A,normal,      -0.128
905940,K-562,EIF3E,normal,       1.467
905940,K-562,BMP2,normal,      -1.382
905940,K-562,HEPACAM,over,       2.427
905940,K-562,JPH2,normal,       0.601
905940,K-562,AMELX,normal,      -0.109
905940,K-562,KCTD19,over,       2.053
905940,K-562,TLR4,normal,       0.030
905940,K-562,OR5H1,normal,       1.252
905940,K-562,CP,normal,      -0.367
905940,K-562,MYF5,normal,       0.604
905940,K-562,PDE2A,normal,       1.662
905940,K-562,PITPNA,normal,      -0.403
905940,K-562,TCP10L,normal,       0.485
905940,K-562,GPCPD1,normal,       0.423
905940,K-562,CCDC90B,normal,       0.604
905940,K-562,RPS4Y2,normal,       0.612
905940,K-562,FERD3L,normal,       1.078
905940,K-562,MRPL52,normal,       0.736
905940,K-562,ISG20L2,normal,      -0.337
905940,K-562,TAAR1,normal,      -0.757
905940,K-562,DACT2,normal,       1.309
905940,K-562,CCND2,normal,       0.955
905940,K-562,ANKRD13A,normal,       0.298
905940,K-562,RPUSD4,normal,       0.689
905940,K-562,LIPE,normal,      -0.213
905940,K-562,NCR1,normal,       0.157
905940,K-562,UTP14A,normal,      -0.137
905940,K-562,ZNF655,normal,       1.417
905940,K-562,ST13,normal,       0.119
905940,K-562,SERTM1,normal,       0.530
905940,K-562,COX18,normal,       0.325
905940,K-562,AGRN,normal,      -0.814
905940,K-562,CCDC39,normal,       0.228
905940,K-562,TMEM208,normal,      -0.422
905940,K-562,CSRP3,normal,       1.569
905940,K-562,TPCN2,normal,      -0.467
905940,K-562,CDH19,normal,      -0.028
905940,K-562,UCN,normal,       0.631
905940,K-562,FOXE1,normal,      -0.282
905940,K-562,GPR101,normal,       0.889
905940,K-562,DENND5B,normal,      -0.899
905940,K-562,FHL5,normal,      -0.542
905940,K-562,CD209,normal,       1.083
905940,K-562,ERMN,normal,       0.040
905940,K-562,LRRFIP1,normal,      -1.610
905940,K-562,DDX25,normal,       0.276
905940,K-562,FBXL6,normal,       0.067
905940,K-562,OAS3,normal,      -1.620
905940,K-562,ITGB6,normal,      -0.062
905940,K-562,MARCH8,normal,       0.830
905940,K-562,PDE4B,normal,      -0.029
905940,K-562,FAM111B,normal,      -1.321
905940,K-562,C12orf49,normal,      -0.828
905940,K-562,NDUFAB1,normal,       1.333
905940,K-562,RARG,over,       2.461
905940,K-562,TYSND1,normal,      -0.646
905940,K-562,RBMS1,under,      -2.945
905940,K-562,ARL8A,normal,      -0.659
905940,K-562,IFT140,normal,       1.589
905940,K-562,PCSK2,normal,       0.527
905940,K-562,TMEM127,normal,      -0.127
905940,K-562,MMEL1,normal,      -1.313
905940,K-562,OGFOD1,normal,       1.136
905940,K-562,RHEX,normal,       0.031
905940,K-562,OSGIN2,normal,       0.604
905940,K-562,MTMR9,normal,       0.110
905940,K-562,ELP6,normal,       1.915
905940,K-562,NAP1L4,normal,      -0.147
905940,K-562,SSRP1,normal,       1.252
905940,K-562,ZNF536,normal,       0.724
905940,K-562,TTC39A,normal,      -0.548
905940,K-562,GRWD1,normal,      -0.771
905940,K-562,USO1,normal,       1.735
905940,K-562,GRIN2B,normal,      -0.151
905940,K-562,TAF13,normal,      -1.401
905940,K-562,VSX1,normal,       1.237
905940,K-562,RNF135,normal,      -1.297
905940,K-562,CRABP2,normal,       0.418
905940,K-562,TMEM156,normal,      -0.772
905940,K-562,CXCL17,normal,      -0.275
905940,K-562,SLC25A1,over,       3.173
905940,K-562,BRD2,normal,      -0.388
905940,K-562,GRIK1,normal,       1.909
905940,K-562,PPM1M,normal,      -0.078
905940,K-562,FCGRT,normal,      -0.639
905940,K-562,SLC12A8,normal,      -0.211
905940,K-562,GOLM1,normal,      -1.560
905940,K-562,HAPLN2,over,       2.238
905940,K-562,C2orf48,normal,       0.685
905940,K-562,SNRPB,normal,      -0.578
905940,K-562,CYP27A1,normal,      -0.123
905940,K-562,KLC1,normal,      -1.527
905940,K-562,MCM6,normal,       0.801
905940,K-562,LHX5,normal,       0.203
905940,K-562,HIST1H2AA,over,       3.001
905940,K-562,ZNF561,normal,      -0.076
905940,K-562,STIP1,normal,       0.017
905940,K-562,ADAM28,normal,       0.409
905940,K-562,FHOD3,normal,      -0.646
905940,K-562,KRTAP4-4,normal,       0.263
905940,K-562,ARHGAP11A,normal,       0.707
905940,K-562,MYL1,normal,      -0.827
905940,K-562,C2orf50,normal,      -1.663
905940,K-562,FFAR1,normal,       0.330
905940,K-562,IGSF11,normal,       1.453
905940,K-562,SP100,normal,      -0.147
905940,K-562,MPP3,normal,      -0.888
905940,K-562,SLC35A3,normal,      -0.515
905940,K-562,ABI3BP,normal,      -0.821
905940,K-562,TNFRSF11A,normal,      -0.562
905940,K-562,MED9,normal,      -0.310
905940,K-562,CLEC4D,normal,      -0.471
905940,K-562,COPG1,normal,      -0.114
905940,K-562,TMEM67,normal,      -0.854
905940,K-562,SV2C,normal,       0.639
905940,K-562,SPPL3,normal,      -0.694
905940,K-562,SLC22A7,normal,      -0.323
905940,K-562,HOXA13,normal,      -0.190
905940,K-562,DDX53,normal,       1.562
905940,K-562,RGS19,normal,      -0.262
905940,K-562,LARP1B,normal,       1.628
905940,K-562,PLA2G12B,normal,       1.769
905940,K-562,PTPN4,normal,       0.475
905940,K-562,VEGFA,normal,       1.664
905940,K-562,CDX4,normal,       1.850
905940,K-562,LRRC49,normal,      -1.421
905940,K-562,RNASE2,normal,       0.159
905940,K-562,CCDC102A,normal,      -0.410
905940,K-562,C8orf34,normal,      -0.074
905940,K-562,SH3D21,normal,       0.877
