SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905989,KM12,PNPLA8,normal,      -0.012
905989,KM12,OR2AG1,normal,       0.211
905989,KM12,MED8,normal,      -0.203
905989,KM12,LMNB2,normal,       1.088
905989,KM12,MMP16,normal,      -0.743
905989,KM12,TBC1D7,normal,      -0.442
905989,KM12,HIST1H1B,normal,       0.533
905989,KM12,SULT4A1,normal,      -0.098
905989,KM12,HSD17B13,normal,       0.260
905989,KM12,RACGAP1,normal,      -0.802
905989,KM12,NDUFA12,normal,       1.949
905989,KM12,OR2W1,normal,       1.011
905989,KM12,ARRDC2,normal,      -0.355
905989,KM12,GJA1,normal,      -0.840
905989,KM12,IP6K2,over,       2.969
905989,KM12,TMTC1,normal,      -0.953
905989,KM12,FFAR4,over,       2.347
905989,KM12,HES5,normal,      -0.354
905989,KM12,OR4A47,normal,      -0.428
905989,KM12,SLC35A5,normal,      -1.221
905989,KM12,DPF2,normal,       0.139
905989,KM12,UBE3D,normal,       0.147
905989,KM12,OR2G6,normal,       0.910
905989,KM12,CABP7,normal,       0.033
905989,KM12,NIPSNAP3A,normal,      -0.018
905989,KM12,UBTD1,normal,      -0.812
905989,KM12,DNMBP,normal,       1.138
905989,KM12,DRC1,normal,       1.687
905989,KM12,LUM,normal,      -0.526
905989,KM12,ZHX2,normal,       0.289
905989,KM12,CD209,normal,      -0.176
905989,KM12,PHIP,normal,      -0.147
905989,KM12,LARP4,normal,       0.701
905989,KM12,RBM28,normal,       0.148
905989,KM12,DCTN6,normal,       0.569
905989,KM12,CYLD,normal,      -1.125
905989,KM12,OR6A2,normal,      -0.353
905989,KM12,CITED2,normal,      -0.726
905989,KM12,KLHDC1,normal,      -0.894
905989,KM12,GNA15,normal,      -0.742
905989,KM12,FIBCD1,normal,      -0.170
905989,KM12,SURF4,normal,       0.482
905989,KM12,LMO4,normal,       0.619
905989,KM12,RAB19,normal,       0.186
905989,KM12,IRF4,normal,      -1.208
905989,KM12,COQ9,normal,       0.990
905989,KM12,PRPF4B,normal,      -1.593
905989,KM12,PPP1R9A,normal,       1.373
905989,KM12,NLRP4_ENST00000587891,normal,       0.063
905989,KM12,IDS,normal,      -1.665
905989,KM12,MFAP3,normal,      -1.504
905989,KM12,ARHGAP30,normal,      -0.795
905989,KM12,FIBP,normal,       0.907
905989,KM12,LCTL,normal,       0.013
905989,KM12,LRRC55,normal,      -0.511
905989,KM12,CASZ1,normal,       0.626
905989,KM12,GNB5,normal,      -1.291
905989,KM12,LRRC24,normal,      -0.273
905989,KM12,GCSAM,normal,      -0.410
905989,KM12,TLE4,normal,      -0.344
905989,KM12,TNKS1BP1,normal,      -0.037
905989,KM12,POGZ,normal,      -0.116
905989,KM12,LY6K,normal,      -1.104
905989,KM12,CCR1,normal,      -1.335
905989,KM12,MROH1,normal,       0.199
905989,KM12,C3,normal,      -0.717
905989,KM12,LAX1,normal,      -0.062
905989,KM12,CDK20,normal,      -1.735
905989,KM12,TEX35,normal,       0.717
905989,KM12,FAM107B,normal,       0.342
905989,KM12,ANKRD36,normal,       1.397
905989,KM12,STX1A,normal,      -0.575
905989,KM12,PRPS1,normal,      -0.778
905989,KM12,PRKAR2B,normal,      -0.341
905989,KM12,CCDC136,normal,      -0.799
905989,KM12,JUP,normal,       0.566
905989,KM12,FAM71B,normal,      -0.006
905989,KM12,C16orf54,normal,      -0.360
905989,KM12,AGO1_ENST00000373206,normal,      -1.551
905989,KM12,TRAPPC2,normal,      -0.765
905989,KM12,GPR158,normal,       0.201
905989,KM12,CENPH,normal,       0.693
905989,KM12,ZBTB20,normal,      -0.455
905989,KM12,DCDC2,normal,      -0.428
905989,KM12,CERS6,normal,       0.873
905989,KM12,PRKCI,over,       2.009
905989,KM12,CLCN6,normal,      -1.017
905989,KM12,UBLCP1,normal,       0.799
905989,KM12,ZNF99,normal,       0.682
905989,KM12,MCOLN3,normal,       0.852
905989,KM12,WIZ,normal,      -0.732
905989,KM12,DEFB123,normal,       1.053
905989,KM12,MRC2,normal,      -0.775
905989,KM12,GADD45GIP1,normal,       0.262
905989,KM12,IQCF6,normal,      -1.007
905989,KM12,NACC2,normal,      -0.362
905989,KM12,SLC35G2,normal,      -1.321
905989,KM12,VDR,normal,       0.688
905989,KM12,DNAJC5B,normal,      -0.347
905989,KM12,ZNF197,normal,       1.015
905989,KM12,PEX5L,normal,      -0.256
905989,KM12,FLNA,normal,      -0.447
905989,KM12,NEUROD2,normal,      -0.594
905989,KM12,ARTN,normal,      -0.615
905989,KM12,NCR3,normal,      -0.401
905989,KM12,IST1,normal,       0.066
905989,KM12,SMIM12,normal,      -0.192
905989,KM12,HTR3C,normal,      -0.721
905989,KM12,HABP4,normal,      -0.521
905989,KM12,NPR1,normal,       0.032
905989,KM12,UPF3B,normal,       0.566
905989,KM12,TRAF3IP2,normal,       0.328
905989,KM12,SYNPO2L,normal,       0.010
905989,KM12,LGSN,normal,      -0.250
905989,KM12,CBLN4,normal,       0.626
905989,KM12,SLC7A5,normal,       0.161
905989,KM12,ITIH2,normal,      -0.599
905989,KM12,GIMAP8,normal,       0.833
905989,KM12,DMPK,normal,      -0.276
905989,KM12,F8,normal,      -1.438
905989,KM12,S100B,normal,      -0.730
905989,KM12,PROSER2,normal,       0.182
905989,KM12,SMAD6,normal,       1.135
905989,KM12,ARAF,normal,      -0.586
905989,KM12,PRKAG1,normal,       1.066
905989,KM12,CNTN6,normal,      -0.488
905989,KM12,P2RY6,normal,      -0.498
905989,KM12,PANK1,normal,       0.739
905989,KM12,NPBWR2,normal,      -1.287
905989,KM12,HLA-DPA1,normal,      -0.758
905989,KM12,ARL16,normal,      -0.194
905989,KM12,ECM2,normal,       0.086
905989,KM12,NUCB2,normal,       0.196
905989,KM12,GREM2,normal,      -0.133
905989,KM12,C19orf54,normal,       0.930
905989,KM12,PPP2R5A,normal,       1.971
905989,KM12,CRISP1,normal,       0.745
905989,KM12,CSF1,normal,       0.219
905989,KM12,UBE2L6,normal,      -0.687
905989,KM12,MYBL1,normal,      -0.520
905989,KM12,TNK1,normal,       0.909
905989,KM12,CWF19L1,normal,       0.137
905989,KM12,GYG2,normal,      -0.309
905989,KM12,MYO1F,normal,      -0.847
905989,KM12,ZFX,normal,      -1.692
905989,KM12,TPM4,normal,       1.469
905989,KM12,ANTXR2,normal,       0.481
905989,KM12,RRAD,normal,      -0.338
905989,KM12,VPS52,normal,      -0.797
905989,KM12,PIK3R4,normal,      -0.040
905989,KM12,POLR1A,normal,      -0.245
905989,KM12,BCL7C,normal,      -0.122
905989,KM12,COL6A1,normal,      -0.409
905989,KM12,ZNF827,normal,      -0.138
905989,KM12,IFT57,normal,      -0.812
905989,KM12,SNAPC5,normal,      -1.063
905989,KM12,MYO9B,normal,      -0.077
905989,KM12,BBS12,normal,      -0.626
905989,KM12,ALDH1A3,normal,       0.714
905989,KM12,PKDCC,over,       2.230
905989,KM12,CHAT,normal,       1.318
905989,KM12,GLCE,normal,      -0.321
905989,KM12,SAE1,normal,       0.333
905989,KM12,CA6,normal,      -1.165
905989,KM12,ATIC,normal,       0.010
905989,KM12,WFDC5,normal,       0.470
905989,KM12,CBX7,normal,       0.601
905989,KM12,TMEM248,normal,       0.019
905989,KM12,MYD88,normal,       0.246
905989,KM12,F2,normal,       0.828
905989,KM12,RAB11FIP1,normal,       0.262
905989,KM12,SETD6,normal,       1.048
905989,KM12,IMMP2L,normal,      -0.497
905989,KM12,RNF19A,normal,      -0.108
905989,KM12,SWSAP1,normal,      -1.007
905989,KM12,IFFO1,normal,      -1.218
905989,KM12,PRDM6,normal,       0.352
905989,KM12,KDM6A,normal,      -0.184
905989,KM12,NRL,normal,       0.757
905989,KM12,SLC12A4,normal,      -0.331
905989,KM12,EPHA8,normal,      -0.861
905989,KM12,OR10G8,normal,       0.510
905989,KM12,TMEM209,normal,      -0.294
905989,KM12,C14orf180,normal,      -0.706
905989,KM12,UBXN7,normal,       0.219
905989,KM12,GOLGA7B,normal,      -0.928
