SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905974,LOXIMVI,ZHX2,normal,       0.240
905974,LOXIMVI,HECTD1,normal,      -1.020
905974,LOXIMVI,SNTA1,normal,      -0.227
905974,LOXIMVI,UCMA,normal,       0.143
905974,LOXIMVI,CNIH4,normal,       0.479
905974,LOXIMVI,PHLPP1,normal,      -0.625
905974,LOXIMVI,USP40,normal,       0.259
905974,LOXIMVI,LDLRAD2,normal,      -0.578
905974,LOXIMVI,PBDC1,normal,       0.151
905974,LOXIMVI,FOXN3,under,      -2.443
905974,LOXIMVI,TEDC2_ENST00000563531,under,      -2.164
905974,LOXIMVI,ZNF565,normal,       1.634
905974,LOXIMVI,STK40,normal,       0.254
905974,LOXIMVI,SMPDL3B,normal,      -0.558
905974,LOXIMVI,ENHO,normal,      -0.991
905974,LOXIMVI,TRO,normal,      -1.317
905974,LOXIMVI,C14orf28,normal,       1.150
905974,LOXIMVI,SF3A3,normal,       0.877
905974,LOXIMVI,USP15,normal,       1.039
905974,LOXIMVI,YIPF3,normal,       1.245
905974,LOXIMVI,COPS7B,normal,       0.548
905974,LOXIMVI,ACSM4,normal,      -0.143
905974,LOXIMVI,IL5,normal,      -0.452
905974,LOXIMVI,TFB1M,normal,       1.144
905974,LOXIMVI,RNF24,normal,       0.772
905974,LOXIMVI,BIVM,normal,       0.975
905974,LOXIMVI,EIF4E3,normal,       0.025
905974,LOXIMVI,FUT2,under,      -2.900
905974,LOXIMVI,PEX11B,normal,      -0.193
905974,LOXIMVI,TAF4,normal,       0.379
905974,LOXIMVI,YWHAE,normal,       0.866
905974,LOXIMVI,RBM45,normal,      -0.078
905974,LOXIMVI,ARAP1,normal,       0.545
905974,LOXIMVI,NLRC3,normal,      -0.460
905974,LOXIMVI,FAM89A,normal,       0.558
905974,LOXIMVI,ATP5F1E_ENST00000395659,normal,       1.086
905974,LOXIMVI,SAMD11,normal,       0.410
905974,LOXIMVI,SEC31B,normal,       0.156
905974,LOXIMVI,CDR2,normal,      -0.386
905974,LOXIMVI,GFPT2,over,       2.653
905974,LOXIMVI,GPR61,normal,      -0.234
905974,LOXIMVI,DTHD1,under,      -2.591
905974,LOXIMVI,RGS3,over,       2.228
905974,LOXIMVI,NKX2-1_ENST00000498187,normal,      -0.821
905974,LOXIMVI,RUNDC3B,normal,       0.726
905974,LOXIMVI,SYTL1,normal,      -1.298
905974,LOXIMVI,TIMP4,normal,      -1.292
905974,LOXIMVI,SCUBE2,normal,      -1.244
905974,LOXIMVI,FKBP15,over,       2.006
905974,LOXIMVI,SCARF1,normal,       1.412
905974,LOXIMVI,SLC35A2,under,      -2.248
905974,LOXIMVI,DNAJB9,normal,       0.704
905974,LOXIMVI,BACH2,normal,      -1.579
905974,LOXIMVI,RPL36AL,normal,      -0.492
905974,LOXIMVI,HEBP1,over,       2.198
905974,LOXIMVI,B3GAT2,normal,       0.912
905974,LOXIMVI,GPR157,normal,       0.607
905974,LOXIMVI,RORA,normal,       0.434
905974,LOXIMVI,FAM173B,normal,      -0.126
905974,LOXIMVI,ARPC2,normal,       0.145
905974,LOXIMVI,XCR1,normal,      -0.159
905974,LOXIMVI,ADAMTS16,normal,       1.078
905974,LOXIMVI,ZBED5,normal,      -0.580
905974,LOXIMVI,EVI2B,normal,      -0.515
905974,LOXIMVI,RBL1,normal,      -1.599
905974,LOXIMVI,XAB2,normal,       0.556
905974,LOXIMVI,NCAPD3,normal,      -0.409
905974,LOXIMVI,C5orf47,normal,      -0.104
905974,LOXIMVI,TBC1D13,normal,       0.329
905974,LOXIMVI,HSPA8,normal,       1.107
905974,LOXIMVI,SUMO3,normal,       0.701
905974,LOXIMVI,POU4F3,normal,      -0.639
905974,LOXIMVI,TTLL6,normal,      -0.582
905974,LOXIMVI,ST6GALNAC3,normal,       1.058
905974,LOXIMVI,CCDC54,normal,       0.168
905974,LOXIMVI,SLPI,normal,      -0.198
905974,LOXIMVI,LHX1,over,       2.157
905974,LOXIMVI,TDRD6,normal,       0.657
905974,LOXIMVI,HSPBP1,normal,       0.364
905974,LOXIMVI,KIAA1147,normal,      -0.926
905974,LOXIMVI,SULT6B1,normal,      -0.675
905974,LOXIMVI,KCTD1,normal,       0.366
905974,LOXIMVI,MPIG6B_ENST00000375809,normal,      -0.634
905974,LOXIMVI,UNC93B1,normal,      -0.745
905974,LOXIMVI,TXNDC11,normal,      -0.500
905974,LOXIMVI,GNAQ,normal,       0.719
905974,LOXIMVI,SPOCD1,over,       4.482
905974,LOXIMVI,RCOR2,normal,      -0.702
905974,LOXIMVI,NDUFA8,normal,       0.959
905974,LOXIMVI,APOL1,normal,      -0.962
905974,LOXIMVI,PLEKHH1,normal,       0.548
905974,LOXIMVI,DDX5,normal,       0.202
905974,LOXIMVI,ZSCAN29,normal,       0.366
905974,LOXIMVI,NETO1,over,       2.863
905974,LOXIMVI,DMPK,normal,       1.467
905974,LOXIMVI,WDR89,normal,      -0.506
905974,LOXIMVI,CD33,normal,      -0.829
905974,LOXIMVI,OTX1,normal,       0.129
905974,LOXIMVI,ST6GALNAC6,normal,      -0.396
905974,LOXIMVI,ARHGAP42_ENST00000524892,normal,      -0.334
905974,LOXIMVI,KLHL5,normal,       0.519
905974,LOXIMVI,NUCB2,normal,      -0.063
905974,LOXIMVI,GLRA1,normal,       0.478
905974,LOXIMVI,GPR65,over,       2.952
905974,LOXIMVI,PAFAH1B3,normal,       0.031
905974,LOXIMVI,HIST1H2BO,normal,      -0.312
905974,LOXIMVI,OR4K2,normal,      -1.433
905974,LOXIMVI,RPL36,normal,       1.372
905974,LOXIMVI,ST3GAL5,normal,      -0.792
905974,LOXIMVI,CCN1,normal,       1.542
905974,LOXIMVI,STOML3,normal,      -1.785
905974,LOXIMVI,MAGEC2,normal,      -1.177
