SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905975,M14,CASC10,normal,      -1.362
905975,M14,TUBAL3,normal,      -0.592
905975,M14,EXOC3L4,normal,      -0.357
905975,M14,CABYR,normal,      -0.593
905975,M14,CTDSPL,normal,       1.082
905975,M14,PCSK4,normal,      -0.945
905975,M14,LPCAT3,normal,      -0.226
905975,M14,S100P,normal,      -0.177
905975,M14,PNPLA1,normal,      -0.198
905975,M14,TRIM31,normal,      -0.743
905975,M14,HDAC7,normal,      -0.740
905975,M14,SPCS2,normal,      -0.355
905975,M14,CTNNA2,normal,       0.988
905975,M14,LPIN1,normal,       0.316
905975,M14,CLDN15,normal,       0.547
905975,M14,PTTG1,normal,       1.755
905975,M14,BUB1,normal,       0.613
905975,M14,STK11IP,normal,       1.210
905975,M14,ATP4A,normal,      -0.998
905975,M14,SLC35C1,normal,       0.499
905975,M14,PLAT,normal,       1.048
905975,M14,CA9,normal,      -0.412
905975,M14,C19orf70,normal,       0.906
905975,M14,HSD17B2,normal,       0.068
905975,M14,SUSD4,normal,      -1.765
905975,M14,S100A2,normal,      -0.689
905975,M14,MYO18B,normal,       0.496
905975,M14,ZNF385A,normal,      -1.011
905975,M14,PROK2,normal,      -0.629
905975,M14,ACSBG2,normal,       0.054
905975,M14,TOMM7,normal,       0.983
905975,M14,BHLHA15,normal,       0.423
905975,M14,RNF180,normal,      -1.540
905975,M14,ATG14,normal,      -0.608
905975,M14,NODAL,normal,      -1.995
905975,M14,TPBG,normal,      -0.135
905975,M14,CYP2F1,normal,      -0.006
905975,M14,C9orf135,normal,      -1.045
905975,M14,MAP9,normal,      -0.030
905975,M14,ADCY2,normal,       1.812
905975,M14,GUCY2F,normal,       0.605
905975,M14,DPT,normal,      -0.625
905975,M14,CAMK1G,normal,      -0.594
905975,M14,TRIM32,normal,       0.135
905975,M14,GPR179,normal,       1.349
905975,M14,C14orf28,normal,      -1.634
905975,M14,AMOTL2,normal,       0.397
905975,M14,PMEL,over,       2.156
905975,M14,OCEL1,normal,       0.051
905975,M14,C2orf78,normal,      -0.854
905975,M14,B4GALT2,normal,       0.804
905975,M14,KCTD3,normal,       0.803
905975,M14,LMF1,normal,      -0.744
905975,M14,SNRPD3,normal,       1.720
905975,M14,FCF1,normal,       0.051
905975,M14,MMP10,normal,       0.156
905975,M14,COASY,normal,       0.497
905975,M14,SLC25A4,over,       2.563
905975,M14,GPX6,normal,       0.189
905975,M14,CRCT1,normal,      -0.325
905975,M14,HNRNPDL_ENST00000349655,normal,      -0.312
905975,M14,SOX11,normal,      -0.213
905975,M14,NDRG1,normal,       0.655
905975,M14,SNW1,normal,      -1.557
905975,M14,ARHGEF11,normal,       0.915
905975,M14,PPIG,normal,      -0.040
905975,M14,SEMA3A,normal,      -0.061
905975,M14,SULF2,normal,      -0.955
905975,M14,HELB,normal,       0.138
905975,M14,INIP,normal,       0.388
905975,M14,TCF15,normal,       1.410
905975,M14,LILRA3,normal,      -0.286
905975,M14,FBXO3,normal,       0.054
905975,M14,SCARA3,normal,      -1.951
905975,M14,MAB21L4,normal,       0.329
905975,M14,INTS5,normal,       0.208
905975,M14,LAMB3,normal,      -1.157
905975,M14,TBCC,normal,      -0.931
905975,M14,MED11,over,       2.510
