SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905946,MCF7,BYSL,normal,1.051
905946,MCF7,CKMT2,normal,1.498
905946,MCF7,SLC25A28,normal,0.43
905946,MCF7,DDX60,normal,-0.31
905946,MCF7,CCL14_ENST00000394509,normal,1.012
905946,MCF7,CD1C,normal,0.746
905946,MCF7,NUP210L,over,4.888
905946,MCF7,APOC1,normal,0.153
905946,MCF7,XRCC4,normal,0.645
905946,MCF7,G3BP1,normal,0.808
905946,MCF7,WDR41,normal,-0.154
905946,MCF7,FKBP5,normal,-0.016
905946,MCF7,OR2A5,normal,0.414
905946,MCF7,AKAP17A,normal,-1.914
905946,MCF7,SNORC_ENST00000409533,normal,0.798
905946,MCF7,PANX3,normal,0.701
905946,MCF7,SGPP1,normal,0.368
905946,MCF7,TDRKH,normal,1.76
905946,MCF7,KATNB1,normal,-1.679
905946,MCF7,TFCP2,under,-2.116
905946,MCF7,BPI,normal,-0.069
905946,MCF7,GPR37L1,over,3.681
905946,MCF7,SLC15A3,normal,-0.332
905946,MCF7,RBM23,normal,-0.246
905946,MCF7,CTSV,normal,-0.11
905946,MCF7,INSL6,normal,-0.031
905946,MCF7,MAGOH,normal,-0.747
905946,MCF7,FPR2,normal,0.129
905946,MCF7,HARS2,normal,1.775
905946,MCF7,PACRGL,normal,0.483
905946,MCF7,RNF145,normal,-1.758
905946,MCF7,OR5AS1,normal,0.639
905946,MCF7,MYO1B,normal,0
905946,MCF7,TRPM2,normal,0.438
905946,MCF7,PRDM16,normal,1.032
905946,MCF7,CACNA1S,normal,0.916
905946,MCF7,RPL35A,normal,1.823
905946,MCF7,AADACL4,normal,0.616
905946,MCF7,MFSD8,normal,0.984
905946,MCF7,TMEM161A,normal,0.318
905946,MCF7,CYP2A13,normal,0.852
905946,MCF7,C2orf73,normal,0.9
905946,MCF7,SERINC2,normal,-0.478
905946,MCF7,AFM,normal,0.083
905946,MCF7,SIKE1,over,3.04
905946,MCF7,ACTB,normal,-0.795
905946,MCF7,SLC35B2,normal,1.182
905946,MCF7,ANKRD37,normal,-0.929
905946,MCF7,NETO1,normal,-0.188
905946,MCF7,SACS,normal,-0.9
905946,MCF7,KCNA2,normal,-1.666
905946,MCF7,CCL24,normal,0.429
905946,MCF7,GALNT13,normal,0.245
905946,MCF7,SPATA32,normal,-0.043
905946,MCF7,CCDC89,normal,-1.12
905946,MCF7,STAG2,normal,1.008
905946,MCF7,PHYHIPL,normal,-1.113
905946,MCF7,GORAB,normal,0.366
905946,MCF7,GAB2,normal,-0.57
905946,MCF7,SLC30A5,normal,0.976
905946,MCF7,GLRA1,normal,-0.531
905946,MCF7,TRIM21,normal,-0.887
905946,MCF7,RBBP8NL,normal,0.289
905946,MCF7,ARF1,normal,-1.184
905946,MCF7,PLEKHH3,normal,1.375
905946,MCF7,JKAMP,normal,0.695
905946,MCF7,ZNF555,normal,-0.218
905946,MCF7,RRM2,normal,-1.396
905946,MCF7,ICA1L,normal,-0.069
905946,MCF7,HHAT,normal,0.38
905946,MCF7,CLDN25,normal,0.286
905946,MCF7,PTTG1,normal,-0.834
905946,MCF7,ZBTB32,normal,0.075
