SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905960,MDA-MB-231,C1orf198,normal,       0.810
905960,MDA-MB-231,RPGRIP1L,normal,       0.749
905960,MDA-MB-231,CHCHD5,normal,      -0.659
905960,MDA-MB-231,PRSS16,normal,      -0.345
905960,MDA-MB-231,ZNF503,normal,      -0.786
905960,MDA-MB-231,GSKIP,normal,       0.381
905960,MDA-MB-231,TXNDC9,normal,       0.967
905960,MDA-MB-231,GREM1,normal,      -0.628
905960,MDA-MB-231,HTR1D,normal,       0.700
905960,MDA-MB-231,CXCR4,normal,       0.044
905960,MDA-MB-231,TSPAN8,under,      -2.261
905960,MDA-MB-231,CPED1,normal,       1.490
905960,MDA-MB-231,LRRC14B,normal,       0.268
905960,MDA-MB-231,LIN7A,normal,       0.425
905960,MDA-MB-231,KRTAP26-1,normal,       0.591
905960,MDA-MB-231,FNBP1L,normal,      -0.595
905960,MDA-MB-231,PAQR5,normal,       0.478
905960,MDA-MB-231,MDGA1,normal,       0.488
905960,MDA-MB-231,TTLL4,normal,      -0.862
905960,MDA-MB-231,C1orf115,normal,      -0.179
905960,MDA-MB-231,NEXMIF,normal,       0.229
905960,MDA-MB-231,CAMTA2,normal,       1.200
905960,MDA-MB-231,MBLAC1,normal,       0.174
905960,MDA-MB-231,DACH1,normal,       0.688
905960,MDA-MB-231,UPF1,normal,      -0.210
905960,MDA-MB-231,DNMT3L,normal,       0.159
905960,MDA-MB-231,ZNF366,under,      -2.284
905960,MDA-MB-231,TMEM44,normal,       0.209
905960,MDA-MB-231,PIGX,under,      -2.124
905960,MDA-MB-231,EIF2D,normal,       0.802
905960,MDA-MB-231,LGALS14,normal,       0.250
905960,MDA-MB-231,SULT2A1,normal,      -0.490
905960,MDA-MB-231,DNAJA1,normal,       0.315
905960,MDA-MB-231,HAMP,under,      -2.321
905960,MDA-MB-231,FILIP1,normal,       0.051
905960,MDA-MB-231,SLC32A1,normal,      -0.987
905960,MDA-MB-231,G6PC2,normal,       0.165
905960,MDA-MB-231,HNRNPCL1,normal,      -0.573
905960,MDA-MB-231,OTP,normal,      -1.264
905960,MDA-MB-231,MRPL39,normal,       0.157
905960,MDA-MB-231,SEMA6A,normal,      -1.506
905960,MDA-MB-231,CEP78,normal,       0.852
905960,MDA-MB-231,BCL9,normal,      -1.806
905960,MDA-MB-231,MROH1,normal,       1.056
905960,MDA-MB-231,PPL,under,      -3.370
905960,MDA-MB-231,OR5B12,normal,       0.579
905960,MDA-MB-231,NRSN1,normal,       0.416
905960,MDA-MB-231,HINT2,normal,       0.966
905960,MDA-MB-231,CFHR5,over,       2.053
905960,MDA-MB-231,EVC2,normal,      -1.742
905960,MDA-MB-231,FCGR2B,under,      -3.149
905960,MDA-MB-231,BCAP31,normal,      -0.075
905960,MDA-MB-231,CDK10,normal,       1.329
905960,MDA-MB-231,CBX8,normal,       0.700
905960,MDA-MB-231,RRAGA,normal,      -1.439
905960,MDA-MB-231,PTPRB,normal,       0.864
905960,MDA-MB-231,LINC01558_ENST00000366822,normal,      -1.352
905960,MDA-MB-231,WARS2,normal,       0.624
905960,MDA-MB-231,ILF3_ENST00000592763,over,       2.963
905960,MDA-MB-231,SHISAL2A,normal,      -1.819
905960,MDA-MB-231,STIM1,normal,      -0.255
905960,MDA-MB-231,SOD2,normal,       1.207
905960,MDA-MB-231,LRRC61,normal,      -0.318
905960,MDA-MB-231,AKR1A1,normal,      -1.342
905960,MDA-MB-231,SLC45A2,normal,       0.008
905960,MDA-MB-231,NRBF2,over,       2.928
905960,MDA-MB-231,UTS2_ENST00000361696,normal,       1.312
905960,MDA-MB-231,AMH,normal,      -0.521
905960,MDA-MB-231,NT5DC3,normal,       0.628
905960,MDA-MB-231,PLCB3,normal,       1.026
905960,MDA-MB-231,PSMD4,normal,       0.859
905960,MDA-MB-231,RECQL,normal,       1.262
905960,MDA-MB-231,TTC6,normal,       0.139
905960,MDA-MB-231,CR1,normal,      -1.687
905960,MDA-MB-231,PCED1A,normal,       0.329
905960,MDA-MB-231,MAN2A1,normal,       0.565
905960,MDA-MB-231,TGFB1I1,normal,       1.476
905960,MDA-MB-231,KDM5B,normal,       0.103
905960,MDA-MB-231,UBFD1,under,      -2.422
905960,MDA-MB-231,EXOSC1,normal,       1.198
905960,MDA-MB-231,PPFIA2,normal,      -0.307
905960,MDA-MB-231,EBNA1BP2,normal,      -0.032
905960,MDA-MB-231,PNPT1,normal,      -0.105
905960,MDA-MB-231,H2AFJ,normal,      -0.186
905960,MDA-MB-231,OR4A16,normal,      -0.246
905960,MDA-MB-231,ZNF623,normal,      -0.358
905960,MDA-MB-231,P2RX7,normal,      -1.140
905960,MDA-MB-231,GPX8,normal,       1.606
905960,MDA-MB-231,ADGRG4_ENST00000370652,normal,       0.803
905960,MDA-MB-231,IDH1,normal,       0.013
905960,MDA-MB-231,PRSS55,normal,      -1.860
905960,MDA-MB-231,MAPK11,normal,      -1.375
905960,MDA-MB-231,ABCA4,normal,       0.548
905960,MDA-MB-231,SLC26A7,normal,       0.397
905960,MDA-MB-231,IMPA2,normal,       0.474
905960,MDA-MB-231,CDH12,normal,      -1.923
905960,MDA-MB-231,PRIM2,normal,       1.068
905960,MDA-MB-231,SLC30A4,normal,      -0.532
905960,MDA-MB-231,SCRG1,normal,      -0.987
905960,MDA-MB-231,SMURF2,over,       2.533
905960,MDA-MB-231,VGLL1,normal,      -0.660
905960,MDA-MB-231,PIK3CD,normal,       0.286
905960,MDA-MB-231,RTN3,normal,      -0.553
905960,MDA-MB-231,TAAR1,normal,      -0.314
905960,MDA-MB-231,CPA2,normal,       0.669
905960,MDA-MB-231,TRAPPC3L,normal,      -0.799
905960,MDA-MB-231,CELF5,normal,      -1.589
905960,MDA-MB-231,DNAJC10,normal,       0.576
905960,MDA-MB-231,CLTA,normal,       1.933
905960,MDA-MB-231,SRSF5,normal,       0.981
905960,MDA-MB-231,TENM4,normal,      -1.057
905960,MDA-MB-231,LINC01549,normal,      -0.309
905960,MDA-MB-231,GNPTG,normal,      -0.448
905960,MDA-MB-231,FGFR1OP2,normal,       0.684
905960,MDA-MB-231,CCDC178,normal,      -1.614
905960,MDA-MB-231,PRDM4,normal,       0.320
905960,MDA-MB-231,ICA1L,normal,      -0.588
905960,MDA-MB-231,CD68,normal,       1.226
905960,MDA-MB-231,ESPNL,normal,      -0.549
905960,MDA-MB-231,URI1,normal,       1.413
905960,MDA-MB-231,ALDOA,normal,      -1.340
