SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905942,NCI-H23,ATF6,over,       2.678
905942,NCI-H23,MMP3,normal,       0.517
905942,NCI-H23,POU3F4,normal,      -0.206
905942,NCI-H23,ZNF524,normal,      -0.896
905942,NCI-H23,ARPC1A,normal,       1.048
905942,NCI-H23,ZDHHC24,normal,      -0.435
905942,NCI-H23,RASGRF2,normal,      -0.134
905942,NCI-H23,SMC3,normal,       0.857
905942,NCI-H23,PYROXD1,normal,       1.677
905942,NCI-H23,HPN,normal,       0.050
905942,NCI-H23,NRSN1,normal,       0.021
905942,NCI-H23,NTRK3,normal,      -0.877
905942,NCI-H23,ABHD10,normal,       1.111
905942,NCI-H23,ST6GAL1,normal,      -0.601
905942,NCI-H23,FAM84A,normal,      -0.268
905942,NCI-H23,ZACN,normal,      -0.996
905942,NCI-H23,LAMTOR1,normal,       0.333
905942,NCI-H23,FOXF1,normal,       0.734
905942,NCI-H23,PRSS58,normal,      -0.369
905942,NCI-H23,UBXN6,normal,       0.862
905942,NCI-H23,ARID1A,normal,       0.262
905942,NCI-H23,USP7,normal,       0.644
905942,NCI-H23,XPO7,normal,       1.410
905942,NCI-H23,NFX1,normal,      -1.420
905942,NCI-H23,PPEF1,normal,       0.512
905942,NCI-H23,CA5A,normal,      -0.065
905942,NCI-H23,CD300E,normal,      -0.989
905942,NCI-H23,MCF2L2,normal,      -0.059
905942,NCI-H23,PNPLA1,normal,      -1.024
905942,NCI-H23,PGBD1,normal,       0.069
905942,NCI-H23,PMCH,normal,       0.528
905942,NCI-H23,IFNA21,normal,       0.708
905942,NCI-H23,ANGPT1,normal,       0.168
905942,NCI-H23,ENTPD6,normal,      -0.911
905942,NCI-H23,PRLH,normal,      -0.728
905942,NCI-H23,PAFAH1B3,normal,      -0.041
905942,NCI-H23,PCDH8,normal,       0.786
905942,NCI-H23,PSCA,normal,       0.235
905942,NCI-H23,EMD,normal,       0.126
905942,NCI-H23,FSCN2,normal,      -0.505
905942,NCI-H23,NEK6,normal,      -0.417
905942,NCI-H23,DUSP14,normal,       0.241
905942,NCI-H23,MED19,normal,      -0.234
905942,NCI-H23,GPR62,normal,      -0.014
905942,NCI-H23,PLGLB2,normal,      -0.184
905942,NCI-H23,RGS18,normal,      -0.464
905942,NCI-H23,PPP1R17,normal,       0.113
905942,NCI-H23,RICTOR,over,       2.031
905942,NCI-H23,PGM1,normal,      -0.756
905942,NCI-H23,PICK1,normal,      -0.029
905942,NCI-H23,MAF,normal,      -0.053
905942,NCI-H23,C1orf116,normal,      -0.167
905942,NCI-H23,ZNF330,normal,      -1.347
905942,NCI-H23,AKNAD1,normal,       0.254
905942,NCI-H23,MARCH3,normal,      -0.368
905942,NCI-H23,ACTL6B,normal,       0.292
905942,NCI-H23,SYCE1L,normal,       0.366
905942,NCI-H23,PLCB4,normal,       0.862
905942,NCI-H23,TMPRSS2,normal,      -0.534
905942,NCI-H23,AAK1,normal,       0.392
905942,NCI-H23,AFMID,normal,       0.013
905942,NCI-H23,ANKRD1,normal,      -0.744
905942,NCI-H23,CSTF2,normal,       1.120
