SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905967,NCI-H322M,C6orf106,normal,       0.409
905967,NCI-H322M,YIPF7,normal,       0.016
905967,NCI-H322M,POLE4,normal,       0.700
905967,NCI-H322M,IL2RG,normal,       0.682
905967,NCI-H322M,RIT1,normal,       1.932
905967,NCI-H322M,DPPA4,normal,       1.781
905967,NCI-H322M,NEK3,normal,      -1.125
905967,NCI-H322M,LCE2B,normal,      -0.350
905967,NCI-H322M,DUSP12,normal,       0.996
905967,NCI-H322M,KIAA1841,normal,      -0.707
905967,NCI-H322M,COG5,normal,      -1.221
905967,NCI-H322M,SNRNP200,under,      -2.238
905967,NCI-H322M,RPAP2,normal,      -1.607
905967,NCI-H322M,S100A16,normal,       1.049
905967,NCI-H322M,PFN1,normal,      -1.687
905967,NCI-H322M,ZCCHC18,normal,      -0.771
905967,NCI-H322M,DACH1,normal,       0.317
905967,NCI-H322M,MAP1B,normal,      -0.128
905967,NCI-H322M,MMP19,normal,      -0.027
905967,NCI-H322M,TMPRSS15,normal,       0.813
905967,NCI-H322M,EMB,normal,       0.449
905967,NCI-H322M,VPS8,normal,      -1.707
905967,NCI-H322M,LIG4,normal,       0.013
905967,NCI-H322M,SLC26A9,normal,       1.523
905967,NCI-H322M,DEFA4,normal,      -1.478
905967,NCI-H322M,GPC1,normal,       1.038
905967,NCI-H322M,IRF2,normal,       0.165
905967,NCI-H322M,EPRS,normal,       0.306
905967,NCI-H322M,GATD1,normal,      -1.889
905967,NCI-H322M,SLC24A1,normal,       0.764
905967,NCI-H322M,RAPGEFL1,normal,       0.458
905967,NCI-H322M,HYDIN,normal,      -0.166
905967,NCI-H322M,GBP2,normal,       0.170
905967,NCI-H322M,DPEP1,normal,       0.373
905967,NCI-H322M,LRP4,normal,      -0.083
905967,NCI-H322M,ARHGEF11,normal,       0.188
905967,NCI-H322M,TMEM156,normal,       1.215
905967,NCI-H322M,SLC18A1,normal,       1.198
905967,NCI-H322M,COMT,normal,       0.474
905967,NCI-H322M,MSLNL,normal,      -0.387
905967,NCI-H322M,PYROXD1,normal,      -0.829
905967,NCI-H322M,KCND3,normal,       0.368
905967,NCI-H322M,HELZ,normal,      -0.575
905967,NCI-H322M,CDKN2D,normal,       0.669
905967,NCI-H322M,KIAA1614,normal,       0.237
905967,NCI-H322M,ZCCHC14,normal,       0.112
905967,NCI-H322M,RNF44,normal,      -0.283
905967,NCI-H322M,CUL4B,normal,      -0.208
905967,NCI-H322M,SIGLEC9,normal,       1.497
905967,NCI-H322M,PLEKHA8,normal,       0.668
905967,NCI-H322M,CD200R1,normal,       1.223
905967,NCI-H322M,FETUB,normal,      -0.534
905967,NCI-H322M,SAGE1,normal,       0.121
905967,NCI-H322M,RND3,normal,       0.565
905967,NCI-H322M,MINPP1,normal,       0.907
905967,NCI-H322M,CHODL,normal,      -0.221
