SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905934,PC-3,ZFAT,normal,       0.387
905934,PC-3,ARHGEF4,normal,       0.426
905934,PC-3,IGHMBP2,normal,       1.049
905934,PC-3,CCDC173,normal,       0.094
905934,PC-3,TMPRSS5,normal,      -1.302
905934,PC-3,AASS,normal,      -1.858
905934,PC-3,KRTAP4-12,normal,      -1.180
905934,PC-3,GDE1,normal,       0.954
905934,PC-3,NRAS,under,      -2.650
905934,PC-3,IDH2,normal,      -0.139
905934,PC-3,RABL2A,normal,      -1.051
905934,PC-3,TUBA1C,over,       2.892
905934,PC-3,ARPC1A,over,       2.301
905934,PC-3,ADGRF2,normal,      -0.002
905934,PC-3,C1QTNF6,normal,      -1.063
905934,PC-3,ARFGEF1,normal,       0.565
905934,PC-3,CCDC116,normal,      -0.439
905934,PC-3,LPO,normal,       0.190
905934,PC-3,FAM102A,normal,       0.034
905934,PC-3,STEAP4,normal,       1.256
905934,PC-3,TUBA4A,normal,       0.309
905934,PC-3,INTS4,normal,      -0.136
905934,PC-3,CTSG,normal,      -0.764
905934,PC-3,NUDT2,normal,       0.184
905934,PC-3,SCARA3,normal,       0.985
905934,PC-3,MPZL3,normal,       0.176
905934,PC-3,GPATCH3,normal,      -0.098
905934,PC-3,TRA2B,normal,       0.143
905934,PC-3,CBLL1,normal,       0.610
905934,PC-3,RBM15,normal,      -1.944
905934,PC-3,DYNC2LI1,normal,      -0.157
905934,PC-3,ZNF773,normal,       0.337
905934,PC-3,PLIN1,normal,       0.745
905934,PC-3,CXXC1_ENST00000285106,normal,      -0.899
905934,PC-3,NME5,normal,       1.140
905934,PC-3,GRHL1,normal,       0.836
905934,PC-3,HSPG2,normal,       1.809
905934,PC-3,RETSAT,normal,       1.292
905934,PC-3,HEPN1,normal,       1.042
905934,PC-3,ABHD1,normal,      -0.728
905934,PC-3,BTBD16,normal,      -1.192
905934,PC-3,SH3YL1,normal,       0.504
905934,PC-3,NPSR1,normal,       0.030
905934,PC-3,ARRDC4,normal,      -0.219
905934,PC-3,KCTD7,normal,      -0.813
905934,PC-3,MTPAP,normal,      -1.570
905934,PC-3,MPPED1,normal,       0.185
905934,PC-3,IL17C,normal,       1.469
905934,PC-3,AVPR2,normal,      -0.217
905934,PC-3,HAVCR2,normal,       0.281
905934,PC-3,TXN2,normal,      -0.641
905934,PC-3,SYNM,normal,       0.373
905934,PC-3,MAP3K19,normal,       0.581
905934,PC-3,FAM228A,normal,      -0.066
905934,PC-3,FGF19,normal,      -1.348
905934,PC-3,TATDN2,normal,       1.630
905934,PC-3,EVA1C,normal,       0.815
905934,PC-3,RNF14,normal,       0.157
905934,PC-3,PPP1R14C,normal,      -1.044
905934,PC-3,ZSCAN5A,normal,       1.677
905934,PC-3,NIPBL,under,      -2.706
905934,PC-3,MACC1,normal,       0.500
905934,PC-3,MRPL18,normal,       0.467
905934,PC-3,ATP6V1A,normal,      -0.469
905934,PC-3,MFSD3,over,       2.471
905934,PC-3,MTMR8,normal,      -0.242
905934,PC-3,BTNL8,normal,      -1.167
