SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905985,SF295,DUSP16,normal,      -0.830
905985,SF295,ZC3HC1,normal,      -0.117
905985,SF295,LYPD6B,over,       2.083
905985,SF295,WDHD1,under,      -2.343
905985,SF295,CRMP1,normal,      -0.704
905985,SF295,INHA,normal,      -0.655
905985,SF295,MBD1_ENST00000591535,normal,      -0.585
905985,SF295,FGD5,normal,      -1.026
905985,SF295,SELL,normal,      -0.006
905985,SF295,MT3,normal,       1.596
905985,SF295,PPIL4,normal,      -0.909
905985,SF295,SCARA3,normal,       1.251
905985,SF295,MED8,normal,      -0.940
905985,SF295,SCN11A,normal,      -1.311
905985,SF295,RTL6,normal,       0.631
905985,SF295,INPP5K,over,       2.318
905985,SF295,AGPAT5,normal,      -1.068
905985,SF295,KLK2,normal,      -0.846
905985,SF295,ENPP4,normal,      -0.905
905985,SF295,CCDC87,normal,       0.545
905985,SF295,DCN,normal,       0.414
905985,SF295,TBC1D8,normal,       0.175
905985,SF295,GTF2H1,normal,      -1.224
905985,SF295,KRT73,normal,       0.948
905985,SF295,SLC39A2,normal,      -0.418
905985,SF295,HLA-C,normal,       1.287
905985,SF295,DCAF8L1,normal,       0.479
905985,SF295,TPRX1,normal,      -0.858
905985,SF295,C11orf24,normal,      -0.096
905985,SF295,GLRX2,normal,       0.085
905985,SF295,TPCN1,normal,       0.450
905985,SF295,PAFAH1B3,normal,      -0.404
905985,SF295,CRLF3,normal,       0.130
905985,SF295,CIC,normal,       0.346
905985,SF295,CMBL,normal,       1.172
905985,SF295,SOWAHC,normal,      -0.144
905985,SF295,OR6S1,normal,      -0.406
905985,SF295,MAPK12,normal,      -1.115
905985,SF295,ANPEP,normal,       0.348
905985,SF295,SIRT4,normal,      -1.810
905985,SF295,PLGLB2,normal,       0.438
905985,SF295,MED27,normal,      -0.172
905985,SF295,DHRS4,normal,      -1.284
905985,SF295,MNS1,normal,      -0.563
905985,SF295,TRPT1,normal,       0.922
905985,SF295,NCOR2,normal,       0.451
905985,SF295,TUBB2B,normal,       0.201
905985,SF295,HMGXB3,over,       2.848
905985,SF295,ST6GALNAC1,normal,      -0.553
905985,SF295,FLI1,normal,       0.130
905985,SF295,RPP25,normal,      -0.673
905985,SF295,ATIC,normal,      -1.596
905985,SF295,CYP46A1,normal,      -0.674
905985,SF295,ANKRD13D,normal,      -0.535
905985,SF295,ARIH1,normal,      -0.811
905985,SF295,MYOG,normal,      -0.245
905985,SF295,DNER,normal,       1.096
905985,SF295,GFM1,normal,       0.410
