SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905955,SK-MEL-2,SNX2,normal,       1.394
905955,SK-MEL-2,PPP3CC,normal,       0.074
905955,SK-MEL-2,TAF15,normal,      -1.585
905955,SK-MEL-2,TTC16,over,       2.491
905955,SK-MEL-2,FAM161A,normal,       0.972
905955,SK-MEL-2,MAGEB3,normal,      -0.292
905955,SK-MEL-2,RPRML,normal,      -0.352
905955,SK-MEL-2,METTL27,normal,       0.702
905955,SK-MEL-2,KRTAP10-7,normal,       0.419
905955,SK-MEL-2,WDYHV1,normal,       0.425
905955,SK-MEL-2,RAB39B,normal,       0.272
905955,SK-MEL-2,RAB22A,normal,       0.787
905955,SK-MEL-2,PSD,normal,       0.684
905955,SK-MEL-2,RCVRN,normal,       1.385
905955,SK-MEL-2,LRSAM1,normal,      -0.599
905955,SK-MEL-2,HOOK3,normal,       0.348
905955,SK-MEL-2,MAPKBP1,normal,       1.083
905955,SK-MEL-2,NRG1_ENST00000519301,normal,       0.982
905955,SK-MEL-2,MAP4K4,normal,      -0.390
905955,SK-MEL-2,ITPA,normal,       0.662
905955,SK-MEL-2,AHR,normal,       0.752
905955,SK-MEL-2,ASTL,normal,       1.067
905955,SK-MEL-2,VCX3A,over,       2.033
905955,SK-MEL-2,WDR70,normal,      -1.951
905955,SK-MEL-2,GCC1,normal,      -0.182
905955,SK-MEL-2,NDRG3,normal,      -0.053
905955,SK-MEL-2,IARS,normal,       0.028
905955,SK-MEL-2,DDX3X,normal,      -1.132
905955,SK-MEL-2,CYSLTR1,normal,      -0.022
905955,SK-MEL-2,HTATIP2,normal,       0.388
905955,SK-MEL-2,FAM189A2,normal,       1.924
905955,SK-MEL-2,PMS1,normal,      -0.542
905955,SK-MEL-2,SYNM,normal,       1.265
905955,SK-MEL-2,FPGS,normal,      -0.108
905955,SK-MEL-2,UBR2,normal,      -1.304
905955,SK-MEL-2,ABHD5,normal,       0.632
905955,SK-MEL-2,ZNF236,normal,      -0.676
905955,SK-MEL-2,TMEM255A,over,       2.509
905955,SK-MEL-2,FPR1,normal,      -1.751
905955,SK-MEL-2,OXLD1,normal,       1.097
905955,SK-MEL-2,DNAJA4,normal,       0.671
905955,SK-MEL-2,MCHR1,normal,       0.073
905955,SK-MEL-2,LHFPL1,over,       3.028
905955,SK-MEL-2,HELT,normal,       0.587
905955,SK-MEL-2,HHLA3,normal,      -1.475
905955,SK-MEL-2,SLC25A41,normal,      -1.137
905955,SK-MEL-2,RIN1,normal,      -0.251
905955,SK-MEL-2,COLQ,normal,      -0.115
905955,SK-MEL-2,RAB3B,normal,       0.083
905955,SK-MEL-2,CCDC84,under,      -2.471
905955,SK-MEL-2,HIST1H2AM,normal,      -0.325
905955,SK-MEL-2,FAM189A1,normal,       0.090
905955,SK-MEL-2,PDZD2,under,      -2.759
905955,SK-MEL-2,BDNF,normal,      -0.318
905955,SK-MEL-2,MAMLD1,normal,       1.610
905955,SK-MEL-2,NIPAL1,normal,       0.507
905955,SK-MEL-2,USP6NL,normal,       1.503
905955,SK-MEL-2,DNAJC15,normal,      -0.031
905955,SK-MEL-2,OR2H2,normal,       0.770
905955,SK-MEL-2,RGL1,normal,      -0.153
905955,SK-MEL-2,OR10H3,normal,       0.121
905955,SK-MEL-2,TBC1D9,normal,      -0.073
905955,SK-MEL-2,KCNIP2,normal,       1.625
905955,SK-MEL-2,KCNAB1,over,       3.100
905955,SK-MEL-2,REP15,normal,       0.909
905955,SK-MEL-2,PAFAH2,normal,      -1.741
905955,SK-MEL-2,PPIA,normal,       0.225
905955,SK-MEL-2,TMEM131,normal,       0.045
905955,SK-MEL-2,FBXO48,normal,       1.740
905955,SK-MEL-2,SHD,normal,      -1.098
905955,SK-MEL-2,NMRK1,normal,      -0.442
905955,SK-MEL-2,MUC6,normal,      -0.637
905955,SK-MEL-2,PHF21B,normal,      -0.213
