SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905979,SN12C,KEL,normal,       0.104
905979,SN12C,TBX3,normal,       0.355
905979,SN12C,IBA57,normal,       0.060
905979,SN12C,CENPK,normal,       0.259
905979,SN12C,ATF7IP,normal,      -0.681
905979,SN12C,POTEC,normal,      -0.858
905979,SN12C,BOLL,normal,       1.664
905979,SN12C,LDLRAD4,normal,      -0.528
905979,SN12C,FABP9,normal,       0.969
905979,SN12C,TTC12,normal,       0.340
905979,SN12C,PLXNA1,normal,      -0.913
905979,SN12C,STAU2,normal,       0.166
905979,SN12C,UBE2U,normal,       0.122
905979,SN12C,OR13C9,normal,      -0.462
905979,SN12C,RMDN3,normal,      -0.013
905979,SN12C,PLBD1,normal,       0.462
905979,SN12C,RNF220,normal,       0.126
905979,SN12C,C6orf136,normal,      -0.635
905979,SN12C,SHH,normal,       0.465
905979,SN12C,RSPH6A,normal,      -0.371
905979,SN12C,OR1B1,normal,       1.172
905979,SN12C,TMEM217,normal,       0.434
905979,SN12C,GBP2,normal,      -0.934
905979,SN12C,PTPN2,over,       2.222
905979,SN12C,C9orf116,normal,       0.656
905979,SN12C,RAB6B,normal,       0.348
905979,SN12C,AES,normal,      -1.159
905979,SN12C,ZNF304,normal,       0.569
905979,SN12C,TMEM202,normal,      -0.162
905979,SN12C,CSMD3,normal,       0.049
905979,SN12C,NDUFB7,normal,      -0.623
905979,SN12C,CAMK2A,normal,      -0.824
905979,SN12C,PEX3,normal,      -0.359
905979,SN12C,AP2S1,normal,       1.042
905979,SN12C,STRN4,normal,      -0.518
905979,SN12C,NR4A1,normal,      -0.270
905979,SN12C,PRR22,normal,      -0.539
905979,SN12C,ECI2,over,       3.278
905979,SN12C,ADAM8,normal,       0.076
905979,SN12C,NELFE,over,       3.184
905979,SN12C,LCT,normal,       0.250
905979,SN12C,PPM1M,normal,      -0.142
905979,SN12C,TMEM41A,normal,       0.190
905979,SN12C,AGBL3,normal,       0.044
905979,SN12C,VARS,normal,       0.402
905979,SN12C,CUX2,normal,      -0.108
905979,SN12C,EXOC1,normal,      -0.621
905979,SN12C,CSNK1G1,under,      -2.046
905979,SN12C,MIB2,normal,      -0.900
905979,SN12C,LHX2,normal,       1.234
905979,SN12C,HCRTR2,normal,       0.670
905979,SN12C,DAPK3,normal,      -0.246
905979,SN12C,C6orf118,normal,       1.124
905979,SN12C,KIF2B,normal,       1.561
905979,SN12C,SEZ6L2,normal,       0.030
905979,SN12C,KRTAP27-1,normal,      -0.006
905979,SN12C,SCAMP3,normal,       0.510
905979,SN12C,DNPH1,normal,       1.133
905979,SN12C,KLHL30,normal,      -0.645
905979,SN12C,CERS2,normal,       0.810
905979,SN12C,NAA20,normal,      -0.306
905979,SN12C,VANGL1,normal,       0.202
905979,SN12C,GDF5OS,normal,      -1.062
905979,SN12C,GRM4,normal,      -1.094
905979,SN12C,SPIC,normal,      -1.030
905979,SN12C,PIGZ,normal,      -0.489
905979,SN12C,SRI,normal,      -1.211
905979,SN12C,IDH3B,normal,      -0.221
905979,SN12C,KIF5A,normal,      -0.477
905979,SN12C,SMIM8,normal,      -1.220
905979,SN12C,SERPINA11,normal,       1.433
905979,SN12C,HOXB1,normal,      -0.121
905979,SN12C,TRIM21,normal,       0.732
905979,SN12C,SS18L2,normal,      -0.168
905979,SN12C,JAK2,normal,      -0.912
905979,SN12C,DNM1,normal,       0.671
905979,SN12C,KRT15,normal,       0.225
905979,SN12C,DUS1L,normal,       0.069
905979,SN12C,FGF13_ENST00000441825,normal,       1.815
905979,SN12C,MAP3K19,normal,      -0.229
905979,SN12C,HYAL4,normal,      -1.208
905979,SN12C,ANGPT1,normal,       1.425
905979,SN12C,DSG1,normal,       0.079
905979,SN12C,RAD9B,normal,       1.423
905979,SN12C,SLX4,normal,      -0.159
905979,SN12C,DHRS11,normal,      -0.297
905979,SN12C,ZNF544,normal,       1.706
905979,SN12C,C1QB,normal,       0.042
905979,SN12C,CCDC172,normal,       0.869
905979,SN12C,ARHGEF19,normal,       1.124
905979,SN12C,STXBP6,over,       2.661
905979,SN12C,ZNF85,normal,       0.994
905979,SN12C,OLFM4,normal,       1.037
905979,SN12C,DDX23,normal,      -0.457
905979,SN12C,TRIP4,normal,       0.397
905979,SN12C,GCSAML,normal,       0.111
905979,SN12C,ZFY,normal,      -1.802
905979,SN12C,TTC1,normal,       0.921
905979,SN12C,ACER1,normal,       0.777
905979,SN12C,PSMD6,normal,       0.461
905979,SN12C,EMC10,normal,      -0.778
905979,SN12C,SDF2L1,normal,       0.568
905979,SN12C,ZNF566,normal,       1.442
905979,SN12C,OR56B4,normal,       1.648
905979,SN12C,GPRASP2,normal,       1.575
905979,SN12C,LGALS3BP,normal,       0.355
905979,SN12C,MTF2,normal,      -1.242
905979,SN12C,POLI,normal,      -1.850
905979,SN12C,USP47,normal,       0.904
905979,SN12C,CPSF2,normal,       1.035
905979,SN12C,CLEC16A,normal,      -0.432
905979,SN12C,DHRS1,normal,      -0.313
905979,SN12C,KCNJ13,normal,      -0.287
905979,SN12C,GLB1,normal,      -0.326
905979,SN12C,GATA1,normal,       0.696
905979,SN12C,ALPK3,normal,      -0.319
905979,SN12C,C19orf18,normal,      -0.221
905979,SN12C,CCDC24,normal,      -0.885
905979,SN12C,ACMSD,normal,       0.233
905979,SN12C,PRR12,under,      -2.785
905979,SN12C,SAMD12,normal,       0.247
905979,SN12C,TOP1MT,normal,      -0.697
905979,SN12C,ZNF548,normal,      -0.111
905979,SN12C,PDE5A,normal,      -0.695
905979,SN12C,TRIR_ENST00000592273,normal,      -1.000
905979,SN12C,FAM126B,normal,       0.096
905979,SN12C,ZNF562,normal,       0.903
905979,SN12C,RPS4Y1,under,      -2.141
905979,SN12C,SEPT3,normal,      -0.637
905979,SN12C,DNAAF3,normal,      -0.490
905979,SN12C,FDFT1,under,      -2.500
905979,SN12C,MAP1B,normal,       0.300
905979,SN12C,RPL38,normal,      -0.742
905979,SN12C,OTUD7A,normal,      -0.155
905979,SN12C,FAM102B,normal,       1.483
905979,SN12C,NIF3L1,normal,       0.608
905979,SN12C,SP140L,normal,      -0.147
905979,SN12C,SRPK3,normal,       0.694
905979,SN12C,TMEM14EP,normal,      -0.144
905979,SN12C,INSR,normal,      -0.661
905979,SN12C,LPIN3,normal,       0.201
905979,SN12C,GPKOW,normal,       1.099
905979,SN12C,MAGEB18,normal,       0.851
905979,SN12C,PPIG,normal,      -0.121
905979,SN12C,PIK3AP1,normal,      -0.649
905979,SN12C,CHEK1,normal,       0.439
905979,SN12C,RP1L1,normal,       0.669
905979,SN12C,USP32,normal,      -0.591
905979,SN12C,BAHD1,normal,      -0.184
905979,SN12C,LAMTOR5,normal,      -0.275
905979,SN12C,STARD4,normal,      -0.448
905979,SN12C,HSPB3,normal,      -0.212
905979,SN12C,OR10A6,normal,       0.147
905979,SN12C,TCEA2,normal,       0.073
905979,SN12C,TSPAN19,normal,       0.637
905979,SN12C,TAF5,normal,       0.682
905979,SN12C,SEC22C,normal,       1.238
905979,SN12C,TNIK,normal,      -0.053
905979,SN12C,PLCG2,normal,      -0.737
905979,SN12C,KCNMB3,normal,      -0.956
905979,SN12C,GOT2,normal,       1.957
905979,SN12C,SORCS3,normal,       0.507
905979,SN12C,DNM3,normal,       0.118
905979,SN12C,BCAP31,normal,      -0.394
905979,SN12C,POLL,normal,      -1.240
905979,SN12C,CTPS1,over,       2.601
905979,SN12C,ZNF780A,normal,       0.313
905979,SN12C,PIANP,normal,       0.147
905979,SN12C,DIP2C,normal,      -0.010
905979,SN12C,MRPS34,normal,       0.229
905979,SN12C,ADRA2B,normal,      -0.295
905979,SN12C,ADAM28,normal,      -0.092
905979,SN12C,PRUNE1_ENST00000368934,normal,      -1.203
905979,SN12C,RHPN1,normal,      -0.757
905979,SN12C,FCAR,normal,       0.383
905979,SN12C,FOXD4L1,normal,       0.680
905979,SN12C,DHRS9,normal,      -0.944
905979,SN12C,NR2F1,normal,      -0.457
905979,SN12C,WNT10B,normal,      -0.064
905979,SN12C,CLYBL,normal,      -1.288
905979,SN12C,ITCH,normal,       1.050
905979,SN12C,MITD1,normal,      -0.417
905979,SN12C,IGFL2,normal,       0.480
905979,SN12C,ZNF296,normal,      -0.141
905979,SN12C,PLIN1,normal,       0.069
905979,SN12C,PEX10,normal,       1.759
905979,SN12C,ZER1,normal,      -0.246
905979,SN12C,PPDPF,normal,       0.466
905979,SN12C,ZDHHC13,normal,       0.203
905979,SN12C,TOP2B,normal,       0.197
905979,SN12C,PSENEN,normal,      -0.066
905979,SN12C,TMEM181,normal,      -0.477
905979,SN12C,UNC93B1,normal,       0.152
905979,SN12C,FOXS1,normal,      -0.152
905979,SN12C,PITPNA,normal,       0.222
905979,SN12C,OR13C4,normal,      -0.220
905979,SN12C,ZNF567,normal,       1.010
905979,SN12C,NANOGNB,normal,       1.877
905979,SN12C,ZRANB1,normal,      -0.317
905979,SN12C,SMARCE1,normal,      -1.448
905979,SN12C,RBBP7,normal,       0.421
905979,SN12C,GPN3,normal,       1.191
905979,SN12C,SPATA32,normal,      -0.078
905979,SN12C,KCTD4,normal,       0.984
905979,SN12C,ABR,normal,      -0.188
905979,SN12C,TMED5,normal,      -1.852
905979,SN12C,C12orf65,normal,       1.357
905979,SN12C,NEK4,over,       2.238
905979,SN12C,CLNK,normal,      -0.010
905979,SN12C,ERP44,normal,      -1.853
905979,SN12C,PHF19,normal,       1.186
905979,SN12C,PGAM4,normal,       1.365
905979,SN12C,ZNF208,normal,      -0.383
905979,SN12C,SLC9B1,normal,       0.640
905979,SN12C,HOXD13,normal,       0.667
905979,SN12C,SDHA,over,       3.436
905979,SN12C,MSX2,normal,      -0.354
905979,SN12C,LY6D,normal,       0.541
905979,SN12C,ARSI,normal,       1.038
905979,SN12C,EIF4ENIF1,normal,      -1.258
905979,SN12C,LINC01549,normal,      -0.018
905979,SN12C,UAP1,over,       2.950
905979,SN12C,NEK11,normal,       0.525
905979,SN12C,SLC22A1,normal,      -1.223
905979,SN12C,TUBG2,normal,      -0.144
905979,SN12C,ISCA2,normal,       0.071
905979,SN12C,AP1S3,normal,      -0.062
905979,SN12C,CCDC124,normal,      -0.199
905979,SN12C,SLC46A3,normal,      -0.462
905979,SN12C,GSTCD,normal,      -0.034
905979,SN12C,FBXL22,normal,       0.035
905979,SN12C,VN1R2,normal,      -0.981
905979,SN12C,BMP3,normal,       0.642
