SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905982,SNB75,SYNE2,normal,      -0.258
905982,SNB75,ACTL6B,normal,      -1.798
905982,SNB75,DNAH11,normal,      -0.121
905982,SNB75,ZNF566,normal,      -0.028
905982,SNB75,PAFAH2,normal,      -0.584
905982,SNB75,ARIH1,normal,      -0.978
905982,SNB75,FST,normal,       0.917
905982,SNB75,CHRNA10,normal,       0.088
905982,SNB75,KIAA0895,normal,       0.363
905982,SNB75,PPID,normal,      -0.994
905982,SNB75,SLFN13,normal,      -0.404
905982,SNB75,ZNF629,normal,       0.179
905982,SNB75,ENAH,normal,       1.950
905982,SNB75,NONO,normal,      -0.692
905982,SNB75,TNFRSF8,normal,      -0.714
905982,SNB75,PRR34_ENST00000333761,normal,      -0.195
905982,SNB75,SKIL,normal,       0.340
905982,SNB75,RDH14,normal,      -1.306
905982,SNB75,FAIM,normal,      -0.128
905982,SNB75,ELK4,normal,      -0.959
905982,SNB75,TRIAP1,normal,      -1.223
905982,SNB75,OR13C9,normal,      -0.650
905982,SNB75,RFX3,normal,      -1.413
905982,SNB75,ITGB1BP2,normal,       0.152
905982,SNB75,C17orf77,normal,       0.280
905982,SNB75,G6PC2,normal,      -0.702
905982,SNB75,MTR,normal,       0.003
905982,SNB75,ARHGAP44,normal,      -0.957
905982,SNB75,TAL1,normal,      -0.457
905982,SNB75,BICRAL_ENST00000394168,normal,      -0.763
905982,SNB75,ASNSD1,normal,      -0.314
905982,SNB75,FBXO8,normal,      -0.499
905982,SNB75,OR5K2,normal,      -0.547
905982,SNB75,ANAPC15,normal,      -1.064
905982,SNB75,UBE2O,normal,      -1.751
905982,SNB75,EPDR1,normal,       1.976
905982,SNB75,MAGEB3,normal,       0.445
905982,SNB75,NT5C2,normal,      -0.613
905982,SNB75,DCDC2B,normal,      -0.223
905982,SNB75,GPR61,normal,      -0.566
905982,SNB75,FEZ2,normal,       0.907
905982,SNB75,TAS1R2,normal,      -0.490
