SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905945,T47D,C1QTNF6,normal,      -0.456
905945,T47D,PPP1R8,normal,      -0.709
905945,T47D,SMAD3,normal,      -0.332
905945,T47D,OR2W1,normal,       0.587
905945,T47D,STUM_ENST00000366789,normal,       0.825
905945,T47D,BUD31,normal,       1.387
905945,T47D,KRTAP17-1,normal,      -0.443
905945,T47D,SMYD3,normal,      -0.044
905945,T47D,M6PR,normal,      -1.051
905945,T47D,SPAG7,normal,       1.921
905945,T47D,TSPAN18,normal,       0.069
905945,T47D,NXPH1,normal,       0.670
905945,T47D,CCDC28B,normal,      -0.017
905945,T47D,PLA2G2E,normal,      -0.196
905945,T47D,ZMIZ2,normal,       0.069
905945,T47D,ZADH2,normal,      -0.352
905945,T47D,TIMELESS,normal,       0.488
905945,T47D,PMM1,normal,      -0.505
905945,T47D,BIRC2,normal,       0.033
905945,T47D,MAPRE1,normal,       1.210
905945,T47D,CDKN2B,normal,      -0.223
905945,T47D,MAP7,normal,       0.417
905945,T47D,EXOC5,normal,       1.356
905945,T47D,CNNM1,normal,      -0.102
905945,T47D,ACVRL1,normal,      -0.105
905945,T47D,NTMT1,normal,       1.155
905945,T47D,MTERF3_ENST00000524341,normal,      -0.065
905945,T47D,NSUN7,normal,       1.228
905945,T47D,TENT5C,normal,       0.299
905945,T47D,MYO1H,normal,       0.222
905945,T47D,TMEM86A,over,       2.488
905945,T47D,FBXL15,normal,       0.927
905945,T47D,ENTPD6,normal,       1.280
905945,T47D,OR9K2,normal,      -0.154
905945,T47D,ZNRF3,normal,      -0.824
905945,T47D,PHLPP1,normal,      -0.584
905945,T47D,CYTIP,normal,      -0.210
905945,T47D,CD2,normal,      -0.601
905945,T47D,TSPO2,normal,       0.513
905945,T47D,MRPL33,normal,      -0.590
905945,T47D,LSR,normal,       0.504
905945,T47D,ZDHHC19,normal,       0.925
905945,T47D,C9orf3,normal,       1.361
905945,T47D,SLC25A46,normal,       0.970
905945,T47D,CDK13,normal,       0.209
905945,T47D,POLR2D_ENST00000409955,normal,       0.278
905945,T47D,GRIN1,normal,       0.952
905945,T47D,MYOG,normal,      -0.480
905945,T47D,OR8D2,normal,      -0.001
905945,T47D,SAMD12,normal,      -0.098
905945,T47D,GRM2,normal,      -0.352
905945,T47D,TPBG,normal,       0.889
905945,T47D,CSMD1,normal,       1.104
905945,T47D,RNF182,normal,      -0.505
905945,T47D,CCDC148,normal,       1.340
905945,T47D,ARL8A,normal,       0.098
905945,T47D,TXNDC12,normal,       0.539
905945,T47D,RASAL2,normal,       0.166
905945,T47D,CEACAM5,normal,      -0.399
905945,T47D,LSP1,normal,      -0.811
905945,T47D,TBXAS1,normal,      -0.433
905945,T47D,POLR3B,over,       2.235
905945,T47D,LAMC1,normal,      -0.779
905945,T47D,LENG1,normal,       0.321
905945,T47D,PRDM6,normal,      -0.211
905945,T47D,TOP1,normal,      -1.570
905945,T47D,CBLN1,normal,      -0.591
905945,T47D,ZFPL1,normal,       1.654
905945,T47D,ZCCHC17,normal,      -0.552
905945,T47D,UBE2E2,normal,       1.231
905945,T47D,DYTN,normal,       0.186
905945,T47D,HTN3,normal,      -0.144
905945,T47D,GOLGA1,normal,       1.933
905945,T47D,GKN1,normal,       0.471
905945,T47D,PSMA4,normal,      -0.438
905945,T47D,CASC4,normal,      -0.174
905945,T47D,AZU1,normal,       1.022
905945,T47D,DMRTA1,normal,      -1.250
905945,T47D,ZNF354A,normal,       0.580
905945,T47D,ALKBH1,over,       2.583
905945,T47D,HDC,normal,      -0.730
905945,T47D,ANGEL2,normal,      -0.213
905945,T47D,RAP1B,normal,      -0.803
905945,T47D,DPM2,over,       3.163
905945,T47D,ZSWIM2,normal,       0.945
905945,T47D,ITFG1,normal,      -0.055
905945,T47D,ASB17,normal,      -0.519
905945,T47D,RIC8B,normal,      -0.353
905945,T47D,C12orf56,normal,       0.184
905945,T47D,SCAMP2,normal,      -1.707
905945,T47D,GTF3C4,normal,       1.769
905945,T47D,TRIM27,normal,      -0.054
905945,T47D,DYNC1LI1,normal,       0.727
905945,T47D,RNF215,normal,       0.068
905945,T47D,VCAN,normal,      -0.366
905945,T47D,DDX24,normal,       0.414
905945,T47D,IL18R1,normal,       0.475
905945,T47D,CLCN4,normal,      -0.019
905945,T47D,SPINT3,normal,      -0.779
905945,T47D,PCDH1,normal,       1.083
905945,T47D,SEMA3D,normal,       0.456
905945,T47D,CCDC137,normal,       1.724
905945,T47D,NPTN,normal,      -0.029
905945,T47D,PARP2,normal,      -0.523
905945,T47D,CDC23,normal,       0.586
905945,T47D,L3HYPDH,normal,       0.249
905945,T47D,PDZK1IP1,normal,       0.345
905945,T47D,CAPG,normal,       0.051
905945,T47D,PLVAP,normal,       0.511
905945,T47D,UQCRH,normal,       1.149
905945,T47D,AKT2,normal,       0.791
905945,T47D,SOGA1,normal,       0.254
905945,T47D,DEPDC4,over,       3.474
905945,T47D,LINGO2,normal,      -1.774
905945,T47D,PUM3,normal,      -1.184
905945,T47D,ZNF586,normal,      -0.007
905945,T47D,C17orf102,normal,      -0.913
905945,T47D,SGO1_ENST00000417364,normal,      -0.880
905945,T47D,C6orf15,normal,      -1.677
905945,T47D,WRAP73,normal,       0.349
905945,T47D,KAT5,over,       2.467
905945,T47D,SERPINA9,normal,       0.477
905945,T47D,OXR1,normal,       0.930
905945,T47D,SCAND1,over,       2.972
905945,T47D,POLR3E,normal,       1.117
905945,T47D,STX2,normal,      -1.077
905945,T47D,P4HA2,normal,       0.079
905945,T47D,TRAK1,normal,       0.013
905945,T47D,ZNF175,normal,      -0.530
905945,T47D,LGALS1,normal,       0.313
905945,T47D,HSPA14,normal,      -0.329
905945,T47D,WAS,normal,       0.253
905945,T47D,C2orf68,normal,       0.978
905945,T47D,BAP1,normal,      -1.072
905945,T47D,SLC25A18,normal,       1.483
905945,T47D,TMEM176A,normal,       0.909
905945,T47D,GPR83,normal,      -1.459
905945,T47D,PIK3R6,normal,       0.627
905945,T47D,DNAJC12,normal,       0.336
905945,T47D,CCT2,normal,       1.036
905945,T47D,MEIOC_ENST00000359945,normal,      -0.430
905945,T47D,YAF2,normal,      -1.287
905945,T47D,CTRC,normal,       1.497
905945,T47D,KCNC4,normal,       0.621
905945,T47D,C1orf52,normal,       0.150
905945,T47D,NIPBL,normal,      -0.153
905945,T47D,UAP1,normal,      -0.056
905945,T47D,FBXO7,normal,      -1.728
905945,T47D,DYRK1A,normal,      -0.190
905945,T47D,SNX1,normal,       0.407
905945,T47D,POU3F2,normal,      -0.535
905945,T47D,AMN1,normal,       1.177
905945,T47D,TMEM14A,normal,      -0.171
905945,T47D,C16orf96,normal,      -0.038
905945,T47D,PSMD6,normal,      -0.025
905945,T47D,KALRN,normal,       0.242
905945,T47D,NOP56,normal,       0.105
905945,T47D,SUGCT,normal,      -0.161
905945,T47D,ATP6V1A,normal,       0.046
905945,T47D,TRAM1,normal,       0.349
905945,T47D,SNAP91,normal,       0.428
905945,T47D,LPCAT1,normal,      -0.517
905945,T47D,WDR37,normal,       0.236
905945,T47D,FBXO34,normal,       1.121
905945,T47D,FNBP1L,normal,       0.070
905945,T47D,TEKT1,over,       3.958
905945,T47D,DPPA4,normal,      -0.267
905945,T47D,IL13RA1,normal,      -0.566
905945,T47D,KRTAP5-3,normal,      -1.533
905945,T47D,TRERF1,normal,      -0.862
905945,T47D,NEFH,normal,       0.104
905945,T47D,FAM104B,normal,       1.382
905945,T47D,PPBP,normal,      -0.095
905945,T47D,DKKL1,normal,       0.640
905945,T47D,ADARB2,normal,       0.820
905945,T47D,NFAT5,normal,      -0.714
905945,T47D,FAT3,normal,      -1.732
905945,T47D,USHBP1,normal,       0.127
905945,T47D,ALKBH5,normal,      -1.173
905945,T47D,DCXR,normal,       1.421
905945,T47D,PCDHB8,over,       3.278
905945,T47D,FES,normal,       0.193
905945,T47D,SSR1,normal,       0.085
905945,T47D,RBMS3,normal,      -0.469
905945,T47D,OGFOD1,normal,      -0.760
905945,T47D,CAPZA2,normal,      -1.571
905945,T47D,OR2A5,normal,      -1.034
905945,T47D,HLA-DQA1,normal,      -0.173
905945,T47D,BSN,normal,       0.423
905945,T47D,C20orf85,over,       4.787
905945,T47D,CACNA1I,normal,       1.380
905945,T47D,ODF2L,normal,      -0.396
905945,T47D,CCDC88C,normal,      -0.491
905945,T47D,CRTC3,normal,      -0.089
905945,T47D,DRC3,over,       3.513
905945,T47D,EPHX2,normal,       1.324
905945,T47D,FGFR4,normal,       0.216
905945,T47D,C1orf109,normal,      -0.941
905945,T47D,FBXO36,normal,       1.766
905945,T47D,HELZ,normal,      -1.226
905945,T47D,FAM110B,normal,       0.759
905945,T47D,SPATA25,normal,      -0.653
905945,T47D,RYBP,normal,      -0.979
905945,T47D,RALB,normal,      -0.541
905945,T47D,PKP2,normal,       0.283
905945,T47D,RSL1D1,normal,       0.427
905945,T47D,PEX11A,normal,       1.096
905945,T47D,KCNB2,normal,       0.066
905945,T47D,WDR38,normal,       1.214
905945,T47D,NRG1_ENST00000519301,normal,      -0.278
905945,T47D,SEMA4G,normal,      -0.028
905945,T47D,DEFB124,normal,       0.334
905945,T47D,PDE4C,normal,       0.108
905945,T47D,MUSK,normal,       0.750
905945,T47D,TLE1,normal,       0.865
905945,T47D,TAGLN2,normal,      -0.505
905945,T47D,ISCU,normal,       1.489
905945,T47D,SAPCD2,normal,       1.557
905945,T47D,TNIP1,normal,       0.030
905945,T47D,ACSL5,normal,      -1.137
905945,T47D,TRIM8,normal,       0.975
905945,T47D,OR10AG1,normal,      -0.017
905945,T47D,GEN1,normal,      -0.283
905945,T47D,RPP40,normal,       1.310
905945,T47D,RRAGD,normal,       0.015
905945,T47D,RAP2B,normal,       0.184
905945,T47D,TECPR2,normal,       1.683
905945,T47D,NECAP2,normal,       0.054
905945,T47D,STN1,normal,      -0.019
905945,T47D,PLCXD1,normal,      -0.971
905945,T47D,SPPL3,over,       2.619
905945,T47D,TMEM249,normal,      -0.140
905945,T47D,CDK19,normal,      -1.049
905945,T47D,PSMD7,normal,       0.557
905945,T47D,WFDC8,normal,      -0.456
905945,T47D,ATF7IP2,normal,       0.073
905945,T47D,MRPS11,normal,       1.308
905945,T47D,FGB,normal,      -0.157
905945,T47D,ABI2,normal,      -0.663
905945,T47D,PHLDA3,normal,       0.158
905945,T47D,KIAA1211L,normal,       1.867
905945,T47D,KLHL36,normal,       0.706
905945,T47D,TDRP,normal,       0.669
905945,T47D,SLC17A3,normal,       1.194
905945,T47D,TMEM187,normal,       0.239
905945,T47D,PRDM1,normal,      -0.322
905945,T47D,CCDC141,normal,      -0.305
905945,T47D,SH3YL1,normal,       1.212
905945,T47D,IPCEF1,normal,      -0.526
905945,T47D,SLC2A6,normal,      -0.416
905945,T47D,EAPP,over,       2.990
905945,T47D,FAM120AOS,over,       3.343
905945,T47D,FOXS1,normal,       0.624
905945,T47D,STARD10,normal,       0.267
905945,T47D,KLF9,normal,       0.045
905945,T47D,KCNH1,normal,       0.095
905945,T47D,PPIB,normal,      -0.174
905945,T47D,FDX1,normal,      -0.847
905945,T47D,CYSLTR1,normal,      -0.792
905945,T47D,AFF1,normal,       0.482
905945,T47D,KDM4E,normal,       0.040
905945,T47D,CCDC12,normal,      -0.236
905945,T47D,DAPK2,normal,       0.566
905945,T47D,EMSY_ENST00000533248,normal,      -0.651
905945,T47D,C2orf83,normal,       0.917
905945,T47D,C2orf66,normal,      -0.738
905945,T47D,ITGAX,normal,       0.109
905945,T47D,NCF2,normal,       0.647
905945,T47D,ATP10D,normal,      -0.356
905945,T47D,CWC27,normal,       0.887
905945,T47D,C7orf65,normal,      -0.199
905945,T47D,FGF9,normal,       0.107
905945,T47D,CLTA,normal,       0.433
905945,T47D,HLA-C,normal,      -0.636
905945,T47D,PCYOX1,normal,      -0.670
905945,T47D,ARHGAP35,normal,       0.777
905945,T47D,ZNF491,normal,      -0.257
905945,T47D,TRAF3,normal,      -0.343
905945,T47D,JMJD8,normal,       1.704
905945,T47D,CD27,normal,       0.982
905945,T47D,REEP4,normal,       1.005
905945,T47D,KDM4C,normal,      -0.717
905945,T47D,IGFL3,normal,       0.793
905945,T47D,LRIT2,normal,       0.551
905945,T47D,STRBP,normal,       0.679
905945,T47D,RANBP3L,normal,       1.290
905945,T47D,SLC35G5,normal,      -1.741
905945,T47D,COMMD2,over,       2.009
905945,T47D,DEFB118,normal,       0.947
905945,T47D,HYLS1,over,       3.840
905945,T47D,SMIM3,normal,       0.068
905945,T47D,AKAP4,normal,       1.305
905945,T47D,RFX4,normal,       1.425
905945,T47D,VWA3B,normal,      -0.382
905945,T47D,C7orf26,normal,       0.134
905945,T47D,VAMP5,normal,      -0.788
905945,T47D,C14orf177,normal,       0.132
905945,T47D,CXCL16,normal,       0.882
905945,T47D,L3MBTL3,normal,       0.109
905945,T47D,QTRT1,normal,       0.216
905945,T47D,IMPACT,normal,       0.967
905945,T47D,WDR45B,normal,       1.071
905945,T47D,JMJD6,normal,      -1.329
905945,T47D,ACTR5,normal,       0.256
905945,T47D,MYH4,normal,      -1.152
905945,T47D,MFHAS1,under,      -2.100
905945,T47D,NFIC,normal,       0.952
905945,T47D,CYP2B6,normal,       0.716
905945,T47D,ASTN2,normal,       1.500
905945,T47D,LRRC3B,normal,      -0.535
905945,T47D,IFNK,normal,       0.587
905945,T47D,OR2F2,normal,       1.401
905945,T47D,PIK3C2G,normal,       0.550
905945,T47D,RFTN2,normal,      -0.321
905945,T47D,CD48,normal,       0.218
905945,T47D,AVPI1,normal,       0.526
905945,T47D,CNGA2,normal,      -0.266
905945,T47D,NOL4L_ENST00000375678,normal,      -0.879
905945,T47D,MCF2,normal,      -1.142
905945,T47D,FBXO8,normal,      -0.085
905945,T47D,GPR176,normal,      -0.504
905945,T47D,SLC2A14,normal,       0.983
905945,T47D,VPS13A,normal,      -1.080
905945,T47D,HIST2H2BE,normal,       0.746
905945,T47D,RNF121,normal,       1.464
905945,T47D,WNT8A,normal,      -0.104
