SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905980,TK10,SPANXN1,normal,      -0.406
905980,TK10,AGAP2,normal,      -0.727
905980,TK10,SLC16A14,normal,       0.311
905980,TK10,MRPL57,normal,       1.301
905980,TK10,FAM129C,normal,      -1.142
905980,TK10,DNALI1,normal,       0.574
905980,TK10,SERPINB4,normal,       0.603
905980,TK10,SLC22A12,normal,       0.814
905980,TK10,VPS36,normal,      -1.281
905980,TK10,HDX,normal,       0.347
905980,TK10,PCF11,normal,      -0.232
905980,TK10,ZBTB9,normal,       0.464
905980,TK10,RNF24,normal,      -0.321
905980,TK10,ADPRHL1,normal,      -0.063
905980,TK10,CAT,normal,      -0.170
905980,TK10,TRIB2,normal,      -1.787
905980,TK10,HNMT,normal,      -1.196
905980,TK10,GSTA3,normal,      -0.328
905980,TK10,GLI1,normal,       0.000
905980,TK10,MATN4,under,      -2.039
905980,TK10,HNRNPA1L2,normal,      -0.078
905980,TK10,TAF10,normal,      -0.515
905980,TK10,TMSB10,normal,       0.879
905980,TK10,ARL5A,normal,       0.668
905980,TK10,FBXO15,normal,      -1.024
905980,TK10,PPP2R3A,normal,       1.496
905980,TK10,BCL11A,normal,      -1.299
905980,TK10,LRPAP1,normal,      -0.387
905980,TK10,RALB,normal,       1.811
905980,TK10,TANK,normal,       0.511
905980,TK10,FCGRT,normal,      -0.159
905980,TK10,SF3B1,normal,       0.929
905980,TK10,RNF145,normal,      -0.425
905980,TK10,SLC39A4,normal,       1.907
905980,TK10,ADAMTS16,normal,       1.546
905980,TK10,PELI1,normal,       0.197
905980,TK10,SLC41A3,under,      -2.066
905980,TK10,SLC1A2,normal,      -0.161
905980,TK10,KRTAP4-1,normal,      -0.765
905980,TK10,NPM2,over,       2.116
905980,TK10,SLC23A3,normal,      -1.190
905980,TK10,MRPL2,normal,      -0.500
905980,TK10,SAGE1,normal,      -0.999
905980,TK10,PLEKHA8,normal,       0.412
905980,TK10,PTPN4,normal,       0.044
905980,TK10,FNDC4,normal,      -0.507
905980,TK10,AADACL4,normal,       0.779
905980,TK10,ZNF679,normal,      -0.245
905980,TK10,IFIT2,normal,       0.377
905980,TK10,ZBTB6,normal,       0.147
905980,TK10,SRCAP,normal,       0.342
905980,TK10,RPL27A,normal,      -1.733
905980,TK10,RNF34,normal,      -1.031
905980,TK10,FBXL12,normal,       0.312
905980,TK10,DEGS2,under,      -3.070
905980,TK10,SNRPB2,normal,       1.032
905980,TK10,TM7SF2,normal,      -0.467
905980,TK10,GRM4,normal,      -0.041
905980,TK10,CYP2R1,normal,      -0.438
905980,TK10,HSPA1B,normal,       1.001
905980,TK10,CCL28,normal,      -1.183
905980,TK10,SLC25A2,normal,       0.623
905980,TK10,BSND,normal,       0.592
905980,TK10,TCF7L1,under,      -2.288
905980,TK10,LRP11,normal,      -0.275
905980,TK10,TAPBPL,normal,       1.174
905980,TK10,ATP8B1,normal,      -0.019
905980,TK10,SMURF1,normal,       0.417
905980,TK10,VASN,normal,       0.530
905980,TK10,LRRC31,normal,      -1.092
905980,TK10,DAPK2,normal,      -0.282
905980,TK10,PDZD7,normal,       0.235
905980,TK10,MTUS1,normal,      -0.126
905980,TK10,OR56A1,normal,       0.101
905980,TK10,PPEF1,normal,       0.398
905980,TK10,RIC3,normal,       0.218
905980,TK10,CCL4,normal,      -0.920
905980,TK10,HIST1H2AL,normal,      -0.324
905980,TK10,TACC1,normal,       0.294
905980,TK10,AP4B1,normal,      -0.376
905980,TK10,CHRDL2,normal,      -0.665
905980,TK10,CRH,normal,      -1.021
905980,TK10,URB2,normal,       1.734
905980,TK10,NPL,normal,      -1.920
905980,TK10,HPS4,normal,      -1.164
905980,TK10,ESPNL,normal,       0.029
905980,TK10,ZNF85,normal,      -1.624
905980,TK10,HES5,normal,      -1.124
905980,TK10,DPPA4,normal,      -1.595
905980,TK10,MYO18B,normal,      -0.785
905980,TK10,SCFD1,normal,      -0.059
905980,TK10,CHMP4B,normal,       0.379
905980,TK10,ADAM15,normal,       0.665
905980,TK10,STAT2,under,      -2.066
905980,TK10,ZFP82,normal,      -1.749
905980,TK10,CLCN5,normal,      -1.224
905980,TK10,BRSK2,normal,       0.209
905980,TK10,CFL1,normal,       0.494
905980,TK10,GINS1,normal,       1.957
905980,TK10,DDN,normal,      -1.139
905980,TK10,ADCY2,normal,      -0.190
905980,TK10,SCN4B,normal,      -1.433
905980,TK10,TACO1,normal,       1.452
905980,TK10,TBXAS1,normal,      -0.062
905980,TK10,NDEL1,normal,      -0.805
905980,TK10,ETV4,normal,      -0.322
905980,TK10,PAPSS2,normal,       1.085
905980,TK10,MFNG,normal,       0.234
905980,TK10,APP,normal,      -0.386
905980,TK10,SLC25A19,normal,       0.786
905980,TK10,AMHR2,under,      -2.568
905980,TK10,FOXA3,normal,       0.611
905980,TK10,CEACAM19,normal,      -0.466
905980,TK10,SPSB1,normal,       0.281
905980,TK10,CDYL2,normal,      -0.469
905980,TK10,PADI4,normal,       1.247
905980,TK10,MPPE1,normal,       0.265
905980,TK10,SPATS1,normal,      -0.050
905980,TK10,IRX3,normal,       0.684
905980,TK10,D2HGDH,normal,      -0.726
905980,TK10,GOLGA7B,normal,       0.053
905980,TK10,SLC6A4,normal,      -0.631
905980,TK10,C14orf180,normal,      -0.312
905980,TK10,CA12,normal,       0.748
905980,TK10,KLHL28,normal,      -1.349
905980,TK10,FBXL2,normal,       0.486
905980,TK10,HMCN1,normal,       0.295
905980,TK10,TMEM169,normal,       0.675
905980,TK10,LCE3C,normal,      -0.288
905980,TK10,NDUFAF4,normal,      -1.025
905980,TK10,CPNE2_ENST00000537605,normal,      -0.940
905980,TK10,GPBP1L1,normal,       1.924
905980,TK10,ANKZF1,normal,      -1.441
905980,TK10,C17orf99,normal,      -0.977
905980,TK10,EN1,under,      -2.489
905980,TK10,KRTAP4-9,under,      -3.423
905980,TK10,ATG4B,normal,      -0.261
905980,TK10,CEP85,normal,      -0.104
905980,TK10,EARS2,normal,       0.667
905980,TK10,MLC1,normal,      -1.391
905980,TK10,RBMXL3,normal,      -0.072
905980,TK10,PIH1D3,under,      -2.056
905980,TK10,CYP27A1,normal,       0.279
905980,TK10,STK36,normal,       0.906
905980,TK10,CDKN1C,normal,      -1.437
905980,TK10,EHBP1,normal,       0.345
905980,TK10,TUBA4A,normal,       1.594
905980,TK10,C2orf50,normal,       1.566
905980,TK10,HBEGF,normal,       1.007
