UNIPROT_ID,COSMIC_ID
P17252,PRKCA
Q09472,EP300
P31749,AKT1
P10398,ARAF
P16234,PDGFRA
Q04206,RELA
Q68CJ9,CREB3L3
P08069,IGF1R
P36402,TCF7
Q00987,MDM2
P24864,CCNE1
Q9NQB0,TCF7L2
P04049,RAF1
P21802,FGFR2
Q9Y243,AKT3
P00533,EGFR
O00329,PIK3CD
P27361,MAPK3
P31751,AKT2
P04637,TP53
P46527,CDKN1B
P07900,HSP90AA1
P04085,PDGFA
P35222,CTNNB1
P04626,ERBB2
Q07889,SOS1
P01133,EGF
P11308,ERG
O15530,PDPK1
P09619,PDGFRB
P38936,CDKN1A
P27986,PIK3R1
Q96BA8,CREB3L1
O14920,IKBKB
O43889,CREB3
P18848,ATF4
P42336,PIK3CA
P09211,GSTP1
P14625,HSP90B1
P60484,PTEN
P55211,CASP9
P01135,TGFA
P00750,PLAT
P16220,CREB1
P24385,CCND1
O00459,PIK3R2
Q92569,PIK3R3
P07288,KLK3
P15056,BRAF
P49841,GSK3B
Q9HCS4,TCF7L1
P01127,PDGFB
P62993,GRB2
P31213,SRD5A2
P05019,IGF1
O15111,CHUK
Q92934,BAD
P01308,INS
O15393,TMPRSS2
Q70SY1,CREB3L2
Q02750,MAP2K1
P42345,MTOR
P42338,PIK3CB
Q14209,E2F2
Q8TEY5,CREB3L4
P36507,MAP2K2
O43278,SPINT1
P10415,BCL2
Q07890,SOS2
P14616,INSRR
O00716,E2F3
P37275,ZEB1
Q9UJU2,LEF1
P06400,RB1
P08254,MMP3
Q9Y6K9,IKBKG
P08238,HSP90AB1
O96020,CCNE2
P00749,PLAU
P01116,KRAS
Q01094,E2F1
Q02930,CREB5
P25963,NFKBIA
P11362,FGFR1
Q9NRA1,PDGFC
Q12778,FOXO1
P28482,MAPK1
Q92793,CREBBP
P01111,NRAS
P41161,ETV5
Q9GZP0,PDGFD
P01112,HRAS
Q99801,NKX3-1
P14780,MMP9
P19838,NFKB1
P27930,IL1R2
P10275,AR
P24941,CDK2
Q09472,EP300
P31749,AKT1
P10398,ARAF
P16234,PDGFRA
Q04206,RELA
Q68CJ9,CREB3L3
P08069,IGF1R
P36402,TCF7
Q00987,MDM2
P24864,CCNE1
Q9NQB0,TCF7L2
P04049,RAF1
P21802,FGFR2
Q9Y243,AKT3
P00533,EGFR
O00329,PIK3CD
P27361,MAPK3
P31751,AKT2
P04637,TP53
P46527,CDKN1B
P07900,HSP90AA1
P04085,PDGFA
P35222,CTNNB1
P04626,ERBB2
Q07889,SOS1
P01133,EGF
P11308,ERG
O15530,PDPK1
P09619,PDGFRB
P38936,CDKN1A
P27986,PIK3R1
Q96BA8,CREB3L1
O14920,IKBKB
O43889,CREB3
P18848,ATF4
P42336,PIK3CA
P09211,GSTP1
P14625,HSP90B1
P60484,PTEN
P55211,CASP9
P01135,TGFA
P00750,PLAT
P16220,CREB1
P24385,CCND1
O00459,PIK3R2
Q92569,PIK3R3
P07288,KLK3
P15056,BRAF
P49841,GSK3B
Q9HCS4,TCF7L1
P01127,PDGFB
P62993,GRB2
P31213,SRD5A2
P05019,IGF1
O15111,CHUK
Q92934,BAD
P01308,INS
O15393,TMPRSS2
Q70SY1,CREB3L2
Q02750,MAP2K1
P42345,MTOR
P42338,PIK3CB
Q14209,E2F2
Q8TEY5,CREB3L4
P36507,MAP2K2
O43278,SPINT1
P10415,BCL2
Q07890,SOS2
P14616,INSRR
O00716,E2F3
P37275,ZEB1
Q9UJU2,LEF1
P06400,RB1
P08254,MMP3
Q9Y6K9,IKBKG
P08238,HSP90AB1
O96020,CCNE2
P00749,PLAU
P01116,KRAS
Q01094,E2F1
Q02930,CREB5
P25963,NFKBIA
P11362,FGFR1
Q9NRA1,PDGFC
Q12778,FOXO1
P28482,MAPK1
Q92793,CREBBP
P01111,NRAS
P41161,ETV5
Q9GZP0,PDGFD
P01112,HRAS
Q99801,NKX3-1
P14780,MMP9
P19838,NFKB1
P27930,IL1R2
P10275,AR
P24941,CDK2
Q09472,EP300
P31749,AKT1
P10398,ARAF
P16234,PDGFRA
Q04206,RELA
Q68CJ9,CREB3L3
P08069,IGF1R
P36402,TCF7
Q00987,MDM2
P24864,CCNE1
Q9NQB0,TCF7L2
P04049,RAF1
P21802,FGFR2
Q9Y243,AKT3
P00533,EGFR
O00329,PIK3CD
P27361,MAPK3
P31751,AKT2
P04637,TP53
P46527,CDKN1B
P07900,HSP90AA1
P04085,PDGFA
P35222,CTNNB1
P04626,ERBB2
Q07889,SOS1
P01133,EGF
P11308,ERG
O15530,PDPK1
P09619,PDGFRB
P38936,CDKN1A
P27986,PIK3R1
Q96BA8,CREB3L1
O14920,IKBKB
O43889,CREB3
P18848,ATF4
P42336,PIK3CA
P09211,GSTP1
P14625,HSP90B1
P60484,PTEN
P55211,CASP9
P01135,TGFA
P00750,PLAT
P16220,CREB1
P24385,CCND1
O00459,PIK3R2
Q92569,PIK3R3
P07288,KLK3
P15056,BRAF
P49841,GSK3B
Q9HCS4,TCF7L1
P01127,PDGFB
P62993,GRB2
P31213,SRD5A2
P05019,IGF1
O15111,CHUK
Q92934,BAD
P01308,INS
O15393,TMPRSS2
Q70SY1,CREB3L2
Q02750,MAP2K1
P42345,MTOR
P42338,PIK3CB
Q14209,E2F2
Q8TEY5,CREB3L4
P36507,MAP2K2
O43278,SPINT1
P10415,BCL2
Q07890,SOS2
P14616,INSRR
O00716,E2F3
P37275,ZEB1
Q9UJU2,LEF1
P06400,RB1
P08254,MMP3
Q9Y6K9,IKBKG
P08238,HSP90AB1
O96020,CCNE2
P00749,PLAU
P01116,KRAS
Q01094,E2F1
Q02930,CREB5
P25963,NFKBIA
P11362,FGFR1
Q9NRA1,PDGFC
Q12778,FOXO1
P28482,MAPK1
Q92793,CREBBP
P01111,NRAS
P41161,ETV5
Q9GZP0,PDGFD
P01112,HRAS
Q99801,NKX3-1
P14780,MMP9
P19838,NFKB1
P27930,IL1R2
P10275,AR
P24941,CDK2
