SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905950,ACHN,PXDN,normal,       0.789
905950,ACHN,TEDC2_ENST00000563531,normal,      -1.227
905950,ACHN,DGKE,normal,       0.093
905950,ACHN,FCGR2A,normal,      -1.030
905950,ACHN,NBEA,normal,       0.153
905950,ACHN,SORT1,normal,      -0.092
905950,ACHN,PITPNC1,normal,      -1.762
905950,ACHN,RPE65,normal,      -0.087
905950,ACHN,UBR5,normal,      -0.640
905950,ACHN,FAM111A,normal,      -0.053
905950,ACHN,BCAR1,normal,       0.641
905950,ACHN,TEX264,normal,       0.367
905950,ACHN,TNRC6A,normal,       1.488
905950,ACHN,CCT6B,normal,       0.035
905950,ACHN,H1FX,normal,      -0.301
905950,ACHN,CHMP4C,normal,       0.288
905950,ACHN,GAS7,normal,      -0.404
905950,ACHN,UBE2B,normal,      -0.819
905950,ACHN,HSD17B1,normal,      -0.929
905950,ACHN,SNRNP48,normal,      -0.093
905950,ACHN,PABPC3,normal,      -1.100
905950,ACHN,TIGIT,normal,      -0.984
905950,ACHN,AMOTL1,normal,       0.032
905950,ACHN,RALY,normal,      -1.814
905950,ACHN,GBP2,normal,       0.735
905950,ACHN,GOLGA7B,normal,      -0.088
905950,ACHN,ECI1,normal,       1.140
905950,ACHN,C9orf66,normal,      -0.201
905950,ACHN,NMNAT3,normal,       1.035
905950,ACHN,RNF43,normal,      -0.423
905950,ACHN,NOC4L,normal,       0.691
905950,ACHN,KCNH4,normal,       0.160
905950,ACHN,DCC,normal,      -1.141
905950,ACHN,TMEM150C,normal,       0.291
905950,ACHN,ARHGAP26,normal,       0.278
905950,ACHN,ODAPH_ENST00000311623,normal,       1.340
905950,ACHN,DCK,normal,      -1.591
905950,ACHN,PPM1M,normal,       1.185
905950,ACHN,CRMP1,normal,      -0.772
905950,ACHN,PRSS50,normal,       0.649
905950,ACHN,PRR19,normal,      -0.744
905950,ACHN,CLHC1,normal,       1.217
905950,ACHN,DENND1A,normal,      -1.889
905950,ACHN,RINL,normal,      -0.399
905950,ACHN,ZCCHC14,normal,       0.106
905950,ACHN,CENPT,normal,      -1.043
905950,ACHN,PPP1R21,normal,       0.792
905950,ACHN,LAMTOR1,normal,       0.488
905950,ACHN,LRP1B,normal,       0.346
905950,ACHN,DKK1,normal,      -0.293
905950,ACHN,TMTC3,normal,       0.896
905950,ACHN,PCSK9,normal,      -1.158
905950,ACHN,ECT2,normal,       0.140
905950,ACHN,ELOVL4,normal,      -0.087
905950,ACHN,RAD50,normal,       0.525
905950,ACHN,EHBP1,normal,      -0.107
905950,ACHN,OCA2,normal,       0.999
905950,ACHN,ZNF786,normal,      -0.102
905950,ACHN,ZFP64,normal,      -0.295
905950,ACHN,SIM2,normal,       0.046
905950,ACHN,CHODL,normal,      -1.497
905950,ACHN,ARNT2,normal,       0.302
905950,ACHN,CEPT1,normal,      -0.168
905950,ACHN,HYI,normal,      -0.545
